Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.99368E-14,0.000000001,0,0.663833617,0,0
1.42733E-13,0.000000003,0,0.647935206,0,0
4.97393E-13,0.00000001,0,0.621337866,0,0
1.20992E-12,0.000000025,0,0.603439656,0,0
4.03774E-12,0.0000001,0.000000001,0.572842716,0,0
8.46948E-12,0.00000025,0.000000003,0.548545145,0,0
2.59209E-11,0.000001003,0.000000009,0.500849915,0,0
6.34628E-11,0.000002506,0.000000021,0.464753525,0,0
2.97328E-10,0.000010019,0.000000099,0.413258674,0,0
8.60071E-10,0.000025082,0.000000287,0.384361564,0,0
1.85614E-9,0.000050057,0.000000619,0.365563444,0,0
3.69256E-9,0.000100207,0.000001231,0.346565343,0,0
8.86949E-9,0.000250453,0.000002957,0.321467853,0,0
1.77646E-8,0.000500416,0.000005922,0.301669833,0,0
3.43514E-8,0.001000893,0.000011451,0.282071793,0,0
8.78677E-8,0.002508142,0.000029292,0.255874413,0,0
1.83555E-7,0.005013556,0.000061189,0.237076292,0,0
3.74164E-7,0.010020035,0.000124725,0.217978202,0,0
8.82506E-7,0.025067787,0.000294153,0.192680732,0,0
1.69024E-6,0.050039721,0.000563307,0.172582742,0,0
3.25713E-6,0.100193135,0.001085222,0.151584842,0,0
6.49751E-6,0.20014583,0.002163695,0.129987001,0,0
9.75334E-6,0.300951495,0.003246138,0.117388261,0,0
1.34034E-5,0.401154378,0.004458247,0.108689131,0,0
1.75307E-5,0.500486987,0.005827065,0.102189781,0,0
2.08191E-5,0.600462493,0.006916332,0.096990301,0,0
2.54458E-5,0.700196703,0.008446862,0.092690731,0,0
2.82911E-5,0.751678778,0.009386933,0.090790921,0,0
3.0757E-5,0.802113624,0.010200902,0.089091091,0,0
3.59525E-5,0.902126755,0.011913762,0.086091391,0,0
3.94512E-5,1.000088063,0.013065535,0.083491651,0,0
4.48283E-5,1.101608634,0.014833064,0.081091891,0,0
4.95932E-5,1.200097054,0.016396711,0.078992101,0,0
5.3999E-5,1.304472609,0.017840294,0.076992301,0,0
5.78604E-5,1.405221789,0.019103799,0.075192481,0,0
6.64623E-5,1.504878358,0.021912547,0.073592641,0,0
7.33748E-5,1.755977102,0.02416382,0.069993001,0,0
8.59255E-5,2.003267753,0.028238172,0.066893311,0,0
9.56212E-5,2.257283023,0.03137402,0.064093591,0,0
1.07785E-4,2.50294826,0.03529397,0.061693831,0,0
1.19308E-4,2.752413903,0.03899261,0.059494051,0,0
1.30827E-4,3.003919839,0.04267563,0.057494251,0,0
1.42571E-4,3.262311211,0.04641646,0.055594441,0,0
1.54261E-4,3.515215863,0.050125234,0.053894611,0,0
1.65682E-4,3.754894302,0.053735076,0.052394761,0,0
1.7403E-4,4.011244351,0.056364629,0.050894911,0,0
1.91531E-4,4.26616575,0.061853881,0.04949505,0,0
2.02471E-4,4.503850937,0.065269041,0.04829517,0,0
2.24223E-4,4.758819393,0.072022835,0.04709529,0,0
2.32657E-4,5.010910936,0.074628094,0.0459954,0,0
2.43702E-4,5.250454935,0.078029161,0.0449955,0,0
2.6029E-4,5.503120942,0.083113525,0.0439956,0,0
2.76909E-4,5.770417262,0.088179024,0.0429957,0,0
2.92635E-4,6.000695974,0.092946694,0.04219578,0,0
3.07014E-4,6.273107531,0.097284308,0.04129587,0,0
3.19653E-4,6.523137533,0.101079817,0.04049595,0,0
3.26452E-4,6.75039576,0.103115058,0.03979602,0,0
3.34822E-4,7.016209394,0.105614006,0.0389961,0,0
3.49928E-4,7.25681804,0.110106592,0.03829617,0,0
3.73202E-4,7.509660513,0.116984445,0.03759624,0,0
3.90954E-4,7.779349934,0.122194435,0.03689631,0,0
4.13171E-4,8.02214946,0.128671927,0.03629637,0,0
4.24696E-4,8.273710476,0.132012994,0.03569643,0,0
4.44698E-4,8.535520496,0.137781602,0.03509649,0,0
4.54604E-4,8.761334834,0.140624042,0.03459654,0,0
4.73304E-4,9.041829978,0.145964753,0.0339966,0,0
4.84642E-4,9.28192003,0.149186682,0.03349665,0,0
5.01474E-4,9.529336257,0.153947504,0.0329967,0,0
5.18845E-4,9.784176578,0.158832536,0.03249675,0,0
5.3239E-4,10.048010799,0.162622437,0.0319968,0,0
5.37337E-4,10.262283752,0.164002039,0.03159684,0,0
5.64519E-4,10.537417385,0.171543291,0.03109689,0,0
5.78404E-4,10.766006748,0.175369132,0.03069693,0,0
5.91746E-4,11.00097439,0.17902893,0.03029697,0,0
6.11552E-4,11.301920288,0.18443155,0.02979702,0,0
6.25859E-4,11.551259482,0.188312092,0.02939706,0,0
6.43478E-4,11.805066547,0.193065658,0.0289971,0,0
6.62887E-4,12.065988352,0.198269694,0.02859714,0,0
6.78022E-4,12.267894129,0.202304664,0.02829717,0,0
6.88337E-4,12.541316194,0.205043111,0.02789721,0,0
7.03139E-4,12.819374239,0.208956055,0.02749725,0,0
7.19405E-4,13.033213844,0.213233846,0.02719728,0,0
7.2367E-4,13.250144006,0.214351829,0.02689731,0,0
7.5411E-4,13.545490855,0.222283906,0.02649735,0,0
7.74017E-4,13.775008787,0.227428055,0.02619738,0,0
7.92712E-4,14.010809515,0.2322278,0.02589741,0,0
8.32653E-4,14.257061414,0.242382904,0.02559744,0,0
8.47636E-4,14.509312286,0.246157544,0.02529747,0,0
8.59671E-4,14.765515175,0.249176114,0.0249975,0,0
8.67931E-4,15.024890292,0.251240605,0.02469753,0,0
