Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.93531E-8,0.000006935,0.000284804,1,0,0
7.09751E-8,0.000014033,0.000291464,0.999900289,0,0
7.33431E-8,0.000028561,0.000301186,0.999700867,0,0
7.47905E-8,0.000050785,0.00030713,0.999401735,0,0
7.69986E-8,0.000104184,0.000316196,0.998703759,0,0
9.2605E-8,0.000258886,0.000380271,0.996908964,0,0
1.07751E-7,0.00050228,0.000442452,0.994515904,0,0
1.27229E-7,0.001007088,0.000522413,0.990228338,0,0
1.76021E-7,0.002500842,0.000722684,0.980456676,0,0
6.2455E-7,0.005029061,0.002561839,0.973177784,0,0
9.69719E-7,0.010063274,0.003974873,0.966995712,0,0
1.45775E-6,0.025068177,0.005969328,0.955329544,0,0
1.81372E-6,0.050133792,0.007421577,0.940173497,0,0
2.21065E-6,0.100058095,0.009038388,0.915445209,0,0
2.71405E-6,0.200119923,0.011085134,0.875660584,0,0
3.0236E-6,0.30000818,0.012341644,0.840761791,0,0
3.4034E-6,0.400226206,0.013881069,0.80975172,0,0
3.6997E-6,0.50034178,0.015080396,0.781633264,0,0
4.0163E-6,0.60018811,0.016360299,0.755808156,0,0
4.4177E-6,0.700314738,0.017980594,0.731977266,0,0
4.65065E-6,0.750214011,0.018919693,0.721009074,0,0
4.85783E-6,0.800088869,0.019754153,0.710539436,0,0
5.33128E-6,0.900262607,0.021658432,0.6908964,0,0
6.12661E-6,1.000229873,0.024849044,0.673347293,0,0
7.44211E-6,1.100197072,0.030103518,0.6586898,0,0
8.66048E-6,1.20051873,0.034944818,0.646225945,0,0
9.9821E-6,1.300084002,0.040169065,0.635556885,0,0
1.11942E-5,1.400656441,0.044935368,0.626084355,0,0
1.24804E-5,1.500983575,0.04996755,0.617608934,0,0
1.50336E-5,1.750399375,0.059877755,0.599461561,0,0
1.78389E-5,2.001646489,0.070647415,0.584205803,0,0
2.0974E-5,2.250867672,0.082537639,0.571243394,0,0
2.42E-5,2.501970498,0.094613579,0.560175491,0,0
2.73197E-5,2.752721343,0.106140326,0.55050354,0,0
3.01965E-5,3.000625931,0.116639588,0.541928408,0,0
3.14817E-5,3.250803649,0.121290017,0.53385183,0,0
3.24574E-5,3.500158408,0.124804216,0.526074384,0,0
3.34928E-5,3.750749314,0.128518133,0.518496361,0,0
3.44193E-5,4.00185527,0.131828116,0.511117759,0,0
3.53524E-5,4.253336686,0.135148959,0.503938578,0,0
3.61998E-5,4.500225132,0.138153894,0.49705853,0,0
3.7136E-5,4.75355379,0.141461416,0.490178482,0,0
3.78343E-5,5.000588555,0.143920208,0.483597567,0,0
3.88595E-5,5.250016551,0.147517159,0.477116363,0,0
3.99127E-5,5.501762015,0.151196698,0.470734869,0,0
4.10241E-5,5.752740387,0.155062618,0.464552797,0,0
4.2001E-5,6.001948182,0.158445679,0.458570147,0,0
4.3239E-5,6.253163026,0.162714075,0.452687207,0,0
4.46193E-5,6.504001033,0.167447404,0.447003689,0,0
4.58959E-5,6.75253523,0.171801024,0.441519593,0,0
4.72046E-5,7.003549704,0.17624089,0.436135208,0,0
4.84165E-5,7.251878833,0.180330825,0.430950244,0,0
5.01312E-5,7.503407533,0.186083139,0.425864992,0,0
5.13711E-5,7.752229591,0.190217531,0.42097916,0,0
5.27588E-5,8.002520442,0.194819761,0.41619304,0,0
5.39014E-5,8.253326201,0.198589296,0.411506631,0,0
5.52761E-5,8.504179036,0.203101352,0.406919932,0,0
5.66173E-5,8.750454628,0.207478975,0.402532655,0,0
5.80645E-5,9.00288962,0.212175825,0.398145378,0,0
5.94668E-5,9.255902027,0.216700245,0.393857812,0,0
