Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.56137E-8,0.000006561,0.000303871,1,0,0
7.00112E-8,0.000013562,0.000324234,0.999900428,0,0
7.30061E-8,0.00002788,0.000338101,0.999701284,0,0
7.53616E-8,0.000050285,0.000349008,0.999402569,0,0
7.92779E-8,0.000104637,0.000367141,0.998705566,0,0
9.96017E-8,0.000250407,0.000461241,0.997112417,0,0
1.28203E-7,0.000507886,0.000593651,0.994921836,0,0
1.42859E-7,0.001004447,0.000661493,0.99133725,0,0
1.71208E-7,0.002510514,0.000792707,0.981778353,0,0
2.18285E-7,0.005008353,0.001010569,0.968933586,0,0
3.13049E-7,0.01002357,0.001448965,0.949915364,0,0
5.8133E-7,0.025051697,0.002689051,0.915762222,0,0
1.04821E-6,0.050050533,0.004843442,0.884596236,0,0
1.8001E-6,0.100156154,0.008303249,0.849049089,0,0
3.67916E-6,0.20032434,0.01689718,0.809519068,0,0
5.88265E-6,0.300344298,0.026880097,0.788409838,0,0
8.25853E-6,0.400740584,0.037530446,0.773971921,0,0
1.02424E-5,0.500925114,0.046334027,0.763218162,0,0
1.22385E-5,0.600972942,0.055110908,0.754256696,0,0
1.23489E-5,1.231951293,0.05559409,0.703375485,0.018518519,0
1.23912E-5,1.301153532,0.05577897,0.697799462,0.018518519,0
1.30941E-5,1.400461706,0.058848339,0.690032859,0.018518519,0
1.36728E-5,1.500639307,0.061367721,0.682564971,0.018518519,0
1.49646E-5,1.751275387,0.066967089,0.665139898,0.018518519,0
1.62731E-5,2.001692118,0.072604807,0.649208404,0.018518519,0
1.74241E-5,2.25100784,0.077535932,0.634471771,0.018518519,0
1.86572E-5,2.500154409,0.082789822,0.620730857,0.018518519,0
2.01334E-5,2.75129336,0.089039944,0.607786518,0.018518519,0
2.13567E-5,3.00000317,0.09418729,0.595837897,0.018518519,0
2.286E-5,3.251099601,0.10047262,0.584586279,0.018518519,0
2.40979E-5,3.502183946,0.10561553,0.573932092,0.018518519,0
2.55785E-5,3.752438878,0.111728279,0.563875336,0.018518519,0
2.70095E-5,4.001692977,0.117596431,0.554416011,0.018518519,0
3.0213E-5,4.250736468,0.130593054,0.545753261,0.018518519,0
3.29353E-5,4.500445796,0.141487232,0.537887086,0.018518519,0
3.56565E-5,4.751909753,0.152240383,0.530618341,0.018518519,0
3.85513E-5,5.001523815,0.163531387,0.523947028,0.018518519,0
4.06772E-5,5.251245708,0.171728032,0.517674002,0.037037037,0
4.34034E-5,5.50298326,0.182121255,0.511699691,0.037037037,0
4.52218E-5,5.75111449,0.188980999,0.506123668,0.037037037,0
4.74097E-5,6.001331906,0.197158385,0.500746789,0.037037037,0
5.06961E-5,6.251922035,0.209287012,0.495668625,0.037037037,0
5.43657E-5,6.504126162,0.22261354,0.490889177,0.037037037,0
