X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
10.33442,43.81774,train,2.2401357813174903E-4,43.1930338477735,0.6457005175635496
10.33164,43.81408,train,4.980956067388455E-4,85.46335160903244,0.9004543014378885
10.30761,43.862,train,6.925487192921522E-5,7.9117332203675685,0.27441927929318777
10.29242,43.84401,train,3.865471990456964E-5,5.013672182441089,0.16393216593338567
10.32939,43.85363,train,2.3729540049684134E-4,51.06767889179341,0.6668402092683029
10.30813,43.83489,train,2.1976404372480343E-4,42.678343397626534,0.6386575766712885
10.32215,43.8184,train,4.8353187763516543E-4,83.43478092300953,0.8935074709475874
10.32114,43.81122,train,3.448169455980654E-4,62.559701130760686,0.7975301170530611
10.31509,43.81927,train,3.856165359799345E-4,68.19861302303374,0.8323948768636262
10.33365,43.8144,train,4.766576697425885E-4,82.31610480078066,0.8900621059882341
10.3193,43.82231,train,5.122177220604852E-4,87.04742259352963,0.9067574345939489
10.33106,43.81993,train,1.941960355397992E-4,40.23131895865126,0.5932271220080185
10.33419,43.81407,train,5.153002789039315E-4,87.65181329065939,0.9080793068349475
10.35211,43.83954,train,1.0069627941881583E-4,24.810992598432094,0.3727543322402399
10.35655,43.83635,train,8.049483082681855E-5,12.603769465955525,0.31122837999624553
10.35106,43.83665,train,2.3729540049684134E-4,51.06767889179341,0.6668402092683029
10.36,43.82,train,2.3710616631573018E-4,46.341962629612176,0.6665480609031231
10.35033,43.84013,train,1.0072219112640388E-4,25.663929099273044,0.37282961032998263
10.33427,43.8101,train,4.1933373101351755E-4,73.47860961601117,0.8566290335677634
10.34032,43.8097,train,4.127845669982278E-4,72.399916572412,0.8522132082701686
10.35261,43.84408,train,6.16798738517823E-5,7.267117997444665,0.24850909615436112
10.28061,43.77717,train,0.0015968514083542738,99.44700565713248,0.9993865956591653
10.27217,43.7801,train,9.743449571852073E-4,95.06454635115308,0.9890354378431474
10.32445,43.76318,train,8.185732102833335E-5,13.123640338074027,0.3155614918098766
10.28767,43.77374,train,9.624133621448449E-4,94.77309049819654,0.9884124107775265
10.35584,43.7796,train,1.2348924318848132E-5,1.2319910783130172,0.05559409017161632
10.28079,43.77753,train,0.0012388504031480541,97.39567594666786,0.996779615784562
10.27718,43.7794,train,0.0012570513878630255,97.63755704893141,0.9970399824754341
10.27675,43.77975,train,0.0011876852443030886,96.80779192832063,0.9959183817461531
10.30366,43.76545,train,5.310603070831833E-4,88.02907521632484,0.914550376627211
10.32564,43.78608,train,7.72321586726638E-5,11.870391011245783,0.3007403146667339
10.27809,43.77736,train,0.001490114180096111,99.00826814700137,0.9989943166758696
10.27652,43.77913,train,0.0017803845387410271,99.81940992083578,0.9997378508145875
10.28372,43.77582,train,0.0011301850837137535,96.37845021622648,0.9946727794913889
10.35565,43.83615,train,8.185732102833335E-5,13.123640338074027,0.3155614918098766
10.31877,43.75278,train,6.767691806865401E-4,89.83647335321047,0.9564889331774078
10.32538,43.80488,train,1.252302968898963E-4,30.685677747271242,0.44013331151103696
10.37076,43.8144,train,7.72321586726638E-5,11.870391011245783,0.3007403146667339
10.35161,43.8179,train,4.1080327482797446E-4,72.0487750625541,0.850850699155418
10.33464,43.81034,train,4.320960143455166E-4,75.67475833749042,0.8648586077158564
10.34515,43.81802,train,3.360431496882797E-4,61.042574763104774,0.7891323552781396
10.35858,43.81519,train,2.3710616631573018E-4,46.341962629612176,0.6665480609031231
10.32466,43.80471,train,1.220769197251496E-4,30.05620280354113,0.4318957807817433
10.28016,43.77729,train,0.0013532544720128744,98.28811773315161,0.9981042959413912
10.35696,43.8249,train,3.0736392820969737E-4,57.614166487845814,0.7591750096305369
10.34067,43.8149,train,4.0899557099758347E-4,71.75430345731316,0.8495966085343116
10.34767,43.81647,train,4.7987455365869824E-4,82.84055628530133,0.891688074753865
10.36196,43.82238,train,8.185732102833335E-5,13.123640338074027,0.3155614918098766
10.31761,43.80305,train,8.865617620015008E-5,17.548940607024317,0.3367798009951978
10.34576,43.84537,train,2.2223688466205282E-4,43.01151285618792,0.6427727795599596
10.32799,43.80533,train,3.104940041733421E-4,57.98304222911147,0.762641363715736
10.34212,43.81595,train,3.595854909140313E-4,64.5859621334745,0.8109173076520851
10.33124,43.80767,train,3.5732299696945125E-4,64.23333006211593,0.8089253606780052
10.34843,43.83403,train,3.9036091104529457E-4,68.95876301745552,0.8360379178557619
