Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.49797E-7,0.00007498,0.004465749,1,0,0
8.98683E-7,0.000164848,0.005350127,0.999900458,0,0
9.24059E-7,0.000257254,0.005500785,0.999800916,0,0
9.75219E-7,0.000544254,0.005804447,0.999502289,0,0
1.02425E-6,0.001047144,0.006095362,0.999004579,0,0
1.0693E-6,0.002513558,0.006362647,0.997610989,0,0
1.2302E-6,0.005056214,0.007316542,0.995421063,0,0
1.37859E-6,0.010066426,0.008195449,0.991638463,0,0
1.7442E-6,0.025111052,0.010357578,0.982082421,0,0
3.24843E-6,0.050121554,0.019204029,0.970834163,0,0
6.07148E-6,0.100186024,0.035593505,0.960581326,0,0
7.76208E-6,0.200058951,0.045277016,0.946247263,0,0
8.58163E-6,0.300654593,0.049936218,0.934003584,0,0
9.13877E-6,0.400747165,0.053090619,0.922755326,0,0
9.69602E-6,0.500577083,0.056235177,0.912203862,0,0
1.02597E-5,0.600760395,0.05940565,0.902249652,0,0
1.0928E-5,0.700159109,0.063150274,0.892892694,0,0
1.11855E-5,0.750946898,0.064589072,0.888313757,0,0
1.14955E-5,0.800817655,0.066318723,0.883933904,0,0
1.21222E-5,0.90015648,0.069804627,0.875572367,0,0
1.27492E-5,1.002311849,0.073279654,0.867409914,0,0
1.32544E-5,1.100990817,0.076069984,0.859844714,0,0
1.3492E-5,1.201540009,0.077379687,0.852379056,0,0
1.36775E-5,1.300649804,0.078400539,0.845112483,0,0
1.38222E-5,1.401028548,0.079196713,0.837845909,0,0
1.39171E-5,1.500911376,0.079717821,0.830678877,0,0
1.41305E-5,1.75044701,0.080889385,0.812960382,0,0
1.43116E-5,2.001015762,0.081882529,0.795440972,0,0
1.44105E-5,2.252387158,0.082424328,0.778021103,0,0
1.45426E-5,2.501305652,0.083147946,0.760899861,0,0
1.47178E-5,2.751398498,0.084106047,0.74387816,0,0
1.55207E-5,3.000815518,0.088485084,0.727453713,0,0
1.66166E-5,3.25034486,0.094428663,0.712024686,0,0
1.75832E-5,3.500403953,0.099638418,0.697491539,0,0
1.8714E-5,3.751197747,0.105695489,0.683754728,0,0
1.971E-5,4.000514525,0.110996664,0.670814254,0.018518519,0
2.10786E-5,4.250866085,0.118230096,0.658570575,0.018518519,0
2.25519E-5,4.501690872,0.125950841,0.647123233,0.037037037,0
