Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.61647E-6,0.000261647,0.009569968,1,0,0
2.62181E-6,0.000523828,0.00958939,0.99990002,0,0
2.6321E-6,0.001049793,0.009626867,0.99970006,0,0
2.66804E-6,0.002641137,0.009757681,0.99910018,0,0
2.73189E-6,0.005070335,0.009990009,0.99820036,0,0
2.82944E-6,0.010083197,0.010344871,0.99640072,0,0
3.03058E-6,0.025038355,0.011076202,0.99130174,0,0
3.32917E-6,0.05005681,0.01216082,0.983503299,0,0
3.71776E-6,0.100345312,0.013570596,0.969306139,0,0
4.19009E-6,0.200119695,0.015281461,0.944111178,0,0
4.58342E-6,0.30026981,0.016703912,0.921315737,0,0
4.96284E-6,0.400084218,0.018074096,0.900419916,0,0
5.33513E-6,0.500376937,0.019416683,0.880923815,0,0
5.71852E-6,0.600012596,0.020797409,0.862927415,0,0
6.06992E-6,0.70051438,0.022061193,0.845930814,0,0
6.28419E-6,0.750555164,0.022831012,0.837832434,0,0
6.46159E-6,0.800281373,0.02346789,0.830033993,0,0
6.81621E-6,0.900618356,0.024739778,0.814937013,0,0
7.14315E-6,1.000190525,0.0259109,0.800639872,0,0
7.47138E-6,1.100324898,0.027085271,0.786942611,0,0
7.81847E-6,1.200353626,0.028325521,0.773845231,0,0
8.16103E-6,1.300333231,0.029548069,0.76134773,0,0
8.45778E-6,1.400146658,0.030605911,0.74935013,0,0
8.82256E-6,1.500470668,0.031904641,0.73775245,0,0
9.64877E-6,1.750748553,0.034839772,0.710657868,0,0
1.04767E-5,2.000406085,0.037771946,0.685862827,0,0
1.13788E-5,2.250579951,0.040956954,0.662967407,0,0
1.22766E-5,2.500244935,0.044116332,0.641871626,0,0
1.31765E-5,2.750934758,0.04727259,0.622175565,0,0
1.41174E-5,3.001274086,0.050561149,0.603779244,0,0
1.52774E-5,3.250361228,0.054600264,0.586882623,0,0
1.62044E-5,3.500635372,0.057815683,0.570985803,0,0
1.72714E-5,3.751613489,0.061503142,0.555988802,0,0
1.84165E-5,4.001263066,0.065444638,0.541991602,0,0
1.97781E-5,4.251678723,0.070109457,0.528894221,0,0
2.08877E-5,4.501430315,0.073893811,0.516596681,0,0
2.22397E-5,4.751893537,0.078484219,0.504999,0,0
2.32657E-5,5.001910374,0.08195256,0.4940012,0,0
2.43886E-5,5.252286092,0.085733502,0.483503299,0,0
2.55489E-5,5.502076847,0.089623883,0.473505299,0,0
2.68752E-5,5.750979481,0.094050661,0.464007199,0,0
2.83222E-5,6.001831387,0.098855641,0.454909018,0,0
2.95626E-5,6.251132702,0.102954385,0.446310738,0,0
3.09548E-5,6.502218226,0.107532541,0.438012398,0,0
3.22456E-5,6.752172727,0.111756074,0.430113977,0,0
3.33216E-5,7.001423769,0.115261795,0.422515497,0,0
3.48753E-5,7.253366988,0.120299599,0.415116977,0,0
3.59315E-5,7.501319939,0.123707722,0.408118376,0,0
3.71761E-5,7.753218963,0.127706604,0.401219756,0,0
3.83321E-5,8.002378158,0.131404894,0.394621076,0,0
3.9472E-5,8.251490542,0.135036215,0.388222356,0,0
4.07305E-5,8.500465593,0.139027508,0.382023595,0,0
4.19698E-5,8.752823786,0.142940134,0.375924815,0,0
4.33547E-5,9.000226268,0.147291202,0.370125975,0,0
4.45605E-5,9.250976456,0.151061651,0.364427115,0,0
4.57007E-5,9.503734336,0.154611789,0.358828234,0,0
4.71119E-5,9.754250888,0.158985031,0.353429314,0,0
4.84E-5,10.002840898,0.162957,0.348230354,0,0
4.98395E-5,10.253299484,0.167373487,0.343131374,0,0
5.13494E-5,10.501165091,0.171981194,0.338232354,0,0
