Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.72457E-13,0.000000001,0.000000001,0.988817891,0,0
1.51424E-12,0.000000003,0.000000003,0.987220447,0,0
3.24054E-12,0.00000001,0.000000006,0.984025559,0,0
1.03775E-11,0.000000026,0.000000021,0.981429712,0,0
3.74105E-11,0.000000103,0.000000074,0.977835463,0,0
7.87855E-11,0.000000254,0.000000156,0.975139776,0,0
2.24292E-10,0.000001016,0.000000445,0.969848243,0,0
5.82874E-10,0.000002555,0.000001157,0.966054313,0,0
1.86252E-9,0.000010117,0.000003698,0.959964058,0,0
5.05245E-9,0.000025398,0.000010032,0.955371406,0,0
7.97716E-9,0.000050493,0.000015839,0.951377796,0,0
1.49084E-8,0.000100542,0.000029602,0.946685304,0,0
3.28842E-8,0.000252094,0.000065293,0.940295527,0,0
5.34867E-8,0.000500007,0.000106198,0.934704473,0,0
8.31122E-8,0.001004688,0.000165015,0.927416134,0,0
1.41851E-7,0.002511528,0.000281623,0.91403754,0,0
2.34066E-7,0.005007344,0.000464658,0.900658946,0,0
3.97227E-7,0.010038409,0.000788429,0.884584665,0,0
7.49212E-7,0.025029189,0.001486543,0.857927316,0,0
1.27329E-6,0.050059602,0.00252508,0.833266773,0,0
1.95853E-6,0.10012225,0.00388133,0.802216454,0,0
3.03638E-6,0.200044853,0.006010955,0.76168131,0,0
3.86441E-6,0.300028691,0.007643877,0.732827476,0,0
4.62787E-6,0.400098628,0.009147093,0.709365016,0,0
5.36588E-6,0.500146232,0.010598035,0.689297125,0,0
5.96812E-6,0.600489408,0.011780467,0.671625399,0.047619048,0
6.54878E-6,0.700549963,0.012919189,0.655750799,0.047619048,0
6.80341E-6,0.750608827,0.013418135,0.64826278,0.047619048,0
7.07649E-6,0.800564069,0.013952953,0.641074281,0.047619048,0
7.53569E-6,0.900679777,0.014851599,0.627396166,0.047619048,0
7.99876E-6,1.000681247,0.015757009,0.614516773,0.047619048,0
8.49961E-6,1.100461762,0.016735354,0.602436102,0.047619048,0
9.03348E-6,1.200172871,0.017777128,0.591054313,0.047619048,0
9.63902E-6,1.300112711,0.018957405,0.580371406,0.047619048,0
1.01172E-5,1.400891772,0.019888535,0.5701877,0.047619048,0
1.05671E-5,1.500255712,0.020763535,0.560603035,0.047619048,0
1.17277E-5,1.752028269,0.023017752,0.538039137,0.047619048,0
1.27059E-5,2.001030067,0.024913406,0.517671725,0.047619048,0
1.35029E-5,2.251320949,0.02645528,0.498602236,0.047619048,0
1.42174E-5,2.500086251,0.027835546,0.48063099,0.047619048,0
1.52759E-5,2.750443819,0.029876683,0.463658147,0.047619048,0
1.63818E-5,3.000016083,0.032004664,0.447883387,0.047619048,0
1.75741E-5,3.25130891,0.034293579,0.433107029,0.095238095,0
1.86392E-5,3.500905033,0.036333737,0.419329073,0.095238095,0
1.98095E-5,3.751118571,0.038570484,0.40634984,0.095238095,0
2.08919E-5,4.001475743,0.040634638,0.394069489,0.095238095,0
2.1894E-5,4.252041039,0.042541634,0.382388179,0.095238095,0
2.28243E-5,4.502248279,0.044308756,0.37120607,0.095238095,0
2.38615E-5,4.751414766,0.046274814,0.360523163,0.095238095,0
2.48315E-5,5.002187142,0.048110064,0.350239617,0.095238095,0
2.59398E-5,5.25087092,0.05020257,0.340455272,0.095238095,0
2.71411E-5,5.502633638,0.052465411,0.330970447,0.095238095,0
2.82318E-5,5.751231499,0.05451523,0.321984824,0.095238095,0
2.94283E-5,6.002059788,0.056758964,0.313298722,0.095238095,0
3.04556E-5,6.250606147,0.058680981,0.305011981,0.095238095,0
3.1607E-5,6.501912112,0.060830581,0.29692492,0.095238095,0
3.28455E-5,6.750029747,0.063137263,0.28923722,0.095238095,0
3.43657E-5,7.002711704,0.065961007,0.281749201,0.095238095,0
3.55902E-5,7.251111764,0.068229359,0.274660543,0.095238095,0
3.70798E-5,7.501607166,0.070981123,0.267771565,0.095238095,0
3.87613E-5,7.751450396,0.074077835,0.261182109,0.095238095,0
4.0305E-5,8.001058879,0.076911617,0.254892173,0.095238095,0
4.20654E-5,8.252977894,0.080132678,0.248801917,0.095238095,0
4.37908E-5,8.501231112,0.083278769,0.243011182,0.095238095,0
4.55124E-5,8.751335328,0.086407147,0.237420128,0.095238095,0
4.7474E-5,9.002465327,0.089958586,0.232028754,0.095238095,0
4.95831E-5,9.254546547,0.093761843,0.226837061,0.095238095,0
5.17103E-5,9.503176823,0.097581404,0.221944888,0.095238095,0
5.41799E-5,9.752386881,0.101995785,0.217252396,0.095238095,0
5.60172E-5,10.000709836,0.105265933,0.212759585,0.095238095,0
5.79437E-5,10.251998566,0.10868202,0.208366613,0.095238095,0
6.04492E-5,10.501129803,0.113105248,0.204173323,0.095238095,0
6.29337E-5,10.753819451,0.117469753,0.200079872,0.095238095,0
6.49963E-5,11.004021183,0.121076882,0.196186102,0.095238095,0
6.68399E-5,11.254757108,0.124288468,0.192392173,0.095238095,0
6.83552E-5,11.50512309,0.126919301,0.188698083,0.095238095,0
7.004E-5,11.753903636,0.129835179,0.185103834,0.095238095,0
7.18937E-5,12.002488712,0.133032109,0.181609425,0.095238095,0
7.38076E-5,12.257275748,0.136320638,0.178115016,0.095238095,0
7.63099E-5,12.505329818,0.140601201,0.174820288,0.095238095,0
7.98593E-5,12.755237779,0.146636819,0.171625399,0.095238095,0
8.29929E-5,13.00824014,0.151930078,0.168530351,0.095238095,0
8.55997E-5,13.253080892,0.156308332,0.165634984,0.095238095,0
8.7853E-5,13.504869109,0.160074874,0.162739617,0.095238095,0
9.08332E-5,13.754993282,0.165030367,0.159944089,0.095238095,0
9.49616E-5,14.005446891,0.171847032,0.157248403,0.095238095,0
9.88831E-5,14.256748302,0.178270573,0.154652556,0.095238095,0
1.02974E-4,14.508582283,0.184917567,0.15215655,0.095238095,0
1.07736E-4,14.760357244,0.192589632,0.149760383,0.095238095,0
1.12794E-4,15.003121076,0.200656955,0.147563898,0.095238095,0
1.17106E-4,15.256463548,0.207472099,0.145367412,0.095238095,0
1.22255E-4,15.507110697,0.215533122,0.143270767,0.095238095,0
1.27406E-4,15.758075647,0.223515956,0.141273962,0.095238095,0
1.30191E-4,16.00329489,0.227798901,0.139376997,0.095238095,0
1.32813E-4,16.253968464,0.231807718,0.137480032,0.095238095,0
1.37367E-4,16.511962035,0.238723204,0.135583067,0.095238095,0
1.40842E-4,16.763205209,0.243958561,0.133785942,0.095238095,0
1.43287E-4,17.004723297,0.247619686,0.132088658,0.095238095,0
1.46347E-4,17.250788093,0.252177379,0.130391374,0.095238095,0
1.48856E-4,17.50172178,0.255893365,0.128694089,0.095238095,0
1.53202E-4,17.759519286,0.262286598,0.126996805,0.095238095,0
1.56576E-4,18.007797293,0.267213167,0.125399361,0.095238095,0
1.60828E-4,18.261915437,0.27337305,0.123801917,0.095238095,0
1.65997E-4,18.507262835,0.280793062,0.122304313,0.095238095,0
1.70033E-4,18.759569146,0.286534427,0.120806709,0.095238095,0
1.73768E-4,19.017320976,0.291805013,0.119309105,0.095238095,0
1.77354E-4,19.263395947,0.296830008,0.117911342,0.095238095,0
1.80121E-4,19.513799811,0.300683569,0.116513578,0.095238095,0
1.84698E-4,19.750801443,0.3070098,0.115215655,0.095238095,0
1.88331E-4,20.01162035,0.311991309,0.113817891,0.095238095,0
1.90985E-4,20.258175312,0.315607595,0.112519968,0.095238095,0
1.95829E-4,20.509067432,0.322158689,0.111222045,0.095238095,0
1.97629E-4,20.764794613,0.324577025,0.109924121,0.095238095,0
2.02369E-4,21.005215365,0.330903941,0.108726038,0.095238095,0
2.05369E-4,21.270088322,0.334877762,0.107428115,0.095238095,0
2.10235E-4,21.519993265,0.341273429,0.106230032,0.095238095,0
2.12228E-4,21.752433086,0.34387532,0.105131789,0.095238095,0
2.15596E-4,22.009284332,0.348248144,0.103933706,0.095238095,0
2.195E-4,22.270443243,0.353280692,0.102735623,0.095238095,0
2.24052E-4,22.514611971,0.359100348,0.10163738,0.095238095,0
2.27012E-4,22.762796837,0.36285619,0.100539137,0.095238095,0
2.31987E-4,23.014965587,0.369118505,0.099440895,0.095238095,0
2.34788E-4,23.271268345,0.372617273,0.098342652,0.095238095,0
2.39273E-4,23.509180406,0.378180505,0.097344249,0.095238095,0
2.42252E-4,23.75004826,0.381846795,0.096345847,0.095238095,0
2.45238E-4,24.018715841,0.385501684,0.095247604,0.095238095,0
2.50872E-4,24.266744057,0.392337874,0.094249201,0.095238095,0
2.54611E-4,24.51915677,0.396832122,0.093250799,0.095238095,0
2.58304E-4,24.750798793,0.401238907,0.092352236,0.095238095,0
2.60022E-4,25.009785404,0.40327831,0.091353834,0.095238095,0
2.67084E-4,25.274212391,0.411587125,0.090355431,0.095238095,0
2.72435E-4,25.517339097,0.417806507,0.089456869,0.095238095,0
2.76415E-4,25.764277942,0.42238944,0.088558307,0.095238095,0
2.80691E-4,26.014939398,0.427271896,0.087659744,0.095238095,0
2.83848E-4,26.268809408,0.430851593,0.086761182,0.095238095,0
2.89062E-4,26.527200662,0.436713708,0.08586262,0.095238095,0
2.95391E-4,26.76133814,0.443747351,0.085063898,0.095238095,0
3.02001E-4,27.029380289,0.451000577,0.084165335,0.095238095,0
3.05301E-4,27.272300544,0.454586616,0.083366613,0.095238095,0
3.13043E-4,27.519134689,0.462906418,0.082567891,0.095238095,0
3.15325E-4,27.770752749,0.46533471,0.081769169,0.095238095,0
3.20336E-4,28.025974218,0.470628737,0.080970447,0.095238095,0
3.2286E-4,28.251522748,0.473274777,0.080271565,0.095238095,0
3.27232E-4,28.511493827,0.477827345,0.079472843,0.142857143,0
3.32748E-4,28.775343345,0.483515324,0.078674121,0.142857143,0
3.36314E-4,29.009376908,0.487159801,0.07797524,0.142857143,0
3.40287E-4,29.280419385,0.491189151,0.077176518,0.142857143,0
3.43785E-4,29.519994924,0.49471133,0.076477636,0.142857143,0
3.51664E-4,29.763921341,0.502554842,0.075778754,0.142857143,0
3.58752E-4,30.013172548,0.509507041,0.075079872,0.142857143,0
3.63432E-4,30.266293187,0.514043887,0.07438099,0.142857143,0
3.72433E-4,30.524414116,0.522652447,0.073682109,0.142857143,0
3.76882E-4,30.786623455,0.526850054,0.072983227,0.142857143,0
3.81225E-4,31.013972978,0.530912893,0.072384185,0.142857143,0
3.88529E-4,31.284344882,0.537666769,0.071685304,0.142857143,0
3.92882E-4,31.51944378,0.541646294,0.071086262,0.142857143,0
3.97721E-4,31.757108,0.54602917,0.07048722,0.142857143,0
4.00106E-4,32.036451456,0.548173362,0.069788339,0.142857143,0
4.03435E-4,32.277384157,0.55115061,0.069189297,0.142857143,0
4.0612E-4,32.52048906,0.553536961,0.068590256,0.142857143,0
4.10508E-4,32.766015205,0.55741,0.067991214,0.142857143,0
4.16767E-4,33.014656051,0.562876963,0.067392173,0.142857143,0
4.19379E-4,33.265822828,0.5651381,0.066793131,0.142857143,0
4.25579E-4,33.519773266,0.570458533,0.066194089,0.142857143,0
4.31112E-4,33.777038156,0.575151801,0.065595048,0.142857143,0
4.37841E-4,34.038257332,0.580790202,0.064996006,0.142857143,0
4.42433E-4,34.258676712,0.584595548,0.064496805,0.142857143,0
4.46794E-4,34.525235252,0.588177176,0.063897764,0.142857143,0
4.53794E-4,34.795050371,0.593861894,0.063298722,0.142857143,0
4.5815E-4,35.023475399,0.597359308,0.062799521,0.142857143,0
4.63199E-4,35.254043297,0.601375787,0.062300319,0.142857143,0
4.70345E-4,35.534172934,0.606991686,0.061701278,0.142857143,0
4.75048E-4,35.770979302,0.610644993,0.061202077,0.142857143,0
4.79444E-4,36.009681365,0.614028494,0.060702875,0.142857143,0
4.83005E-4,36.250528957,0.616747974,0.060203674,0.142857143,0
