Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.42029E-6,0.000142029,0.010073621,1,0,0
1.46835E-6,0.000288865,0.010412714,0.99990018,0,0
1.50025E-6,0.000585893,0.010637679,0.999700539,0,0
1.52489E-6,0.001041237,0.010811444,0.999401078,0,0
1.59792E-6,0.002600931,0.011326274,0.998402875,0,0
1.79502E-6,0.005169729,0.012714457,0.99690557,0,0
2.03312E-6,0.010028205,0.014388783,0.994410062,0,0
2.45101E-6,0.025040651,0.017320529,0.9877221,0,0
3.06254E-6,0.050149802,0.021595021,0.978638451,0,0
9.82421E-6,0.687848777,0.067636796,0.911459373,0,0
9.84531E-6,0.700633295,0.067776984,0.910161709,0,0
1.01857E-5,0.751700762,0.070036604,0.905070872,0,0
1.04868E-5,0.800270825,0.072030577,0.900379317,0,0
1.11154E-5,0.900787387,0.076179459,0.891096027,0,0
1.16678E-5,1.000191908,0.07980983,0.882411659,0,0
1.22285E-5,1.100727506,0.08348044,0.874026752,0,0
1.29103E-5,1.200049749,0.087924076,0.866140946,0,0
1.34795E-5,1.300398414,0.091617718,0.858554602,0,0
1.41446E-5,1.401391337,0.095914493,0.851267718,0,0
1.46045E-5,1.500522673,0.09887342,0.844380116,0,0
1.57783E-5,1.751082026,0.106382502,0.827909762,0,0
1.69917E-5,2.000151371,0.114078582,0.812737073,0.043478261,0
1.79929E-5,2.250630898,0.120378752,0.798462767,0.043478261,0
1.89697E-5,2.500240677,0.126482365,0.784987023,0.043478261,0
1.9726E-5,2.751733656,0.131179715,0.772010381,0.043478261,0
2.04773E-5,3.000959649,0.135820421,0.759632661,0.043478261,0
2.12788E-5,3.250937765,0.140743533,0.747654222,0.043478261,0
2.26222E-5,3.50068576,0.148933064,0.736274706,0.043478261,0
2.42908E-5,3.750732425,0.158996229,0.725593931,0.043478261,0
2.6116E-5,4.002411907,0.169867915,0.715611899,0.043478261,0
2.79753E-5,4.250382432,0.180798279,0.706428429,0.043478261,0
2.95396E-5,4.500456465,0.189882635,0.697744061,0.043478261,0
3.14537E-5,4.750095591,0.200861304,0.689558794,0.043478261,0
3.36977E-5,5.000434324,0.213542849,0.681872629,0.043478261,0
3.5527E-5,5.252935878,0.223732242,0.674585746,0.043478261,0
3.74858E-5,5.501028246,0.234496111,0.667797964,0.043478261,0
3.93847E-5,5.750764979,0.244788852,0.661309643,0.043478261,0
4.13896E-5,6.004978206,0.255505197,0.655020962,0.043478261,0
4.35804E-5,6.251709233,0.267042226,0.649231384,0.043478261,0
4.63609E-5,6.503093576,0.281427154,0.643641445,0.043478261,0
4.97192E-5,6.753153807,0.298425145,0.638450789,0.043478261,0
5.32075E-5,7.000353247,0.315656074,0.633659413,0.086956522,0
5.58697E-5,7.252348453,0.328521091,0.629067678,0.086956522,0
5.85568E-5,7.504545118,0.341260768,0.624675584,0.086956522,0
6.11662E-5,10.532617242,0.353401263,0.575164704,0.086956522,0
6.17478E-5,10.753935977,0.356076208,0.571571172,0.086956522,0
6.27718E-5,11.003496955,0.360759597,0.567578359,0.086956522,0
6.37507E-5,11.256326761,0.365204713,0.563585546,0.086956522,0
6.50981E-5,11.501112358,0.371272963,0.559792374,0.086956522,0
6.62163E-5,11.750913504,0.37626446,0.555999201,0.086956522,0
6.78521E-5,12.005107626,0.383495961,0.552206029,0.086956522,0
6.94429E-5,12.252445861,0.390447441,0.548612498,0.086956522,0
7.08781E-5,12.504722199,0.396652115,0.545018966,0.086956522,0
7.19547E-5,12.754596009,0.401264797,0.541525255,0.086956522,0
7.36217E-5,13.002521798,0.408337796,0.538131364,0.086956522,0
7.51756E-5,13.255713812,0.414855616,0.534737473,0.086956522,0
7.6865E-5,13.506358699,0.421860186,0.531443402,0.086956522,0
7.83941E-5,13.754650453,0.428127694,0.528249152,0.086956522,0
8.00322E-5,14.007849523,0.43476676,0.525054901,0.086956522,0
8.09424E-5,14.257400805,0.438422716,0.521960471,0.086956522,0
8.19774E-5,14.501554353,0.442550854,0.518965861,0.086956522,0
8.31227E-5,14.757271715,0.44708342,0.515871431,0.086956522,0
8.41511E-5,15.000139081,0.451122005,0.512976642,0.086956522,0
8.56634E-5,15.25475072,0.457007494,0.509982032,0.086956522,0
8.68887E-5,15.505085503,0.461729738,0.507087243,0.086956522,0
8.80482E-5,15.767368897,0.466160623,0.504092633,0.086956522,0
8.90914E-5,16.006462572,0.470115549,0.501397485,0.086956522,0
8.97675E-5,16.265779593,0.472663303,0.498502695,0.086956522,0
9.08484E-5,16.509496886,0.476710895,0.495807546,0.086956522,0
9.19023E-5,16.756311361,0.48062765,0.493112398,0.086956522,0
9.31055E-5,17.006366075,0.485063438,0.490417249,0.086956522,0
9.42063E-5,17.250040387,0.489088372,0.487821921,0.086956522,0
9.54426E-5,17.505834529,0.493571383,0.485126772,0.086956522,0
9.7837E-5,17.757340924,0.502141946,0.482531443,0.086956522,0
9.88406E-5,18.00326921,0.505690944,0.480035935,0.086956522,0
1.00136E-4,18.252085844,0.510235813,0.477540427,0.086956522,0
1.00185E-4,18.642735502,0.510407087,0.473647435,0.086956522,0
1.00849E-4,18.753343202,0.512717947,0.472549411,0.086956522,0
1.01986E-4,19.006956629,0.516650858,0.470053903,0.086956522,0
1.03251E-4,19.253211203,0.520991664,0.467658215,0.130434783,0
1.04723E-4,19.502738467,0.525990085,0.465262527,0.130434783,0
1.06208E-4,19.755697454,0.530981249,0.46286684,0.130434783,0
1.08546E-4,20.002695175,0.538734931,0.460570972,0.130434783,0
1.09778E-4,20.253807747,0.542767332,0.458275105,0.130434783,0
1.10911E-4,20.50766209,0.546446746,0.455979237,0.130434783,0
1.11978E-4,20.753011742,0.549882093,0.45378319,0.130434783,0
1.12962E-4,21.000517024,0.553027586,0.451587143,0.130434783,0
1.14084E-4,21.250311997,0.556589632,0.449391096,0.130434783,0
1.15E-4,21.502460016,0.559474224,0.447195049,0.173913043,0
1.15943E-4,21.756336976,0.562427998,0.444999002,0.173913043,0
1.16915E-4,22.000874113,0.565447802,0.442902775,0.173913043,0
1.17652E-4,22.258872456,0.56772505,0.440706728,0.173913043,0
1.18318E-4,22.506784442,0.569771103,0.438610501,0.173913043,0
1.19058E-4,22.756149453,0.572034874,0.436514274,0.173913043,0
1.19558E-4,23.006621956,0.573559521,0.434418048,0.173913043,0
1.20426E-4,23.258661989,0.57618997,0.432321821,0.173913043,0
1.20996E-4,23.500190639,0.577909264,0.430325414,0.173913043,0
1.21688E-4,23.755023207,0.579985891,0.428229187,0.173913043,0
1.22714E-4,24.011679024,0.583045635,0.426132961,0.173913043,0
1.23365E-4,24.25783985,0.584974738,0.424136554,0.173913043,0
1.24155E-4,24.505266401,0.587307025,0.422140148,0.173913043,0
1.24658E-4,24.754229408,0.588782458,0.420143741,0.173913043,0
1.25234E-4,25.004110364,0.590469227,0.418147335,0.173913043,0
1.26116E-4,25.255438353,0.593036812,0.416150928,0.173913043,0
1.26657E-4,25.508033032,0.594601056,0.414154522,0.173913043,0
1.27254E-4,25.761992315,0.596323151,0.412158115,0.173913043,0
1.27703E-4,26.004138806,0.597612648,0.410261529,0.173913043,0
1.28225E-4,26.260104738,0.599109621,0.408265123,0.173913043,0
1.28678E-4,26.504270275,0.600400592,0.406368537,0.173913043,0
1.29181E-4,26.762104007,0.601832306,0.40437213,0.173913043,0
1.29751E-4,27.008129258,0.603444637,0.402475544,0.173913043,0
1.30143E-4,27.255095142,0.604552445,0.400578958,0.173913043,0
1.3083E-4,27.502953886,0.60648559,0.398682372,0.173913043,0
1.31213E-4,27.751934602,0.607557894,0.396785786,0.173913043,0
1.32072E-4,28.00209276,0.60995381,0.394889199,0.173913043,0
1.33209E-4,28.25413502,0.613100245,0.392992613,0.173913043,0
1.34206E-4,28.50823268,0.61584192,0.391096027,0.173913043,0
1.35189E-4,28.750765496,0.618523161,0.389299261,0.173913043,0
1.36156E-4,29.008437507,0.621145403,0.387402675,0.173913043,0
1.36852E-4,29.254293861,0.623020651,0.385605909,0.173913043,0
1.37536E-4,29.501240637,0.624853314,0.383809144,0.173913043,0
1.38073E-4,29.763043047,0.62628691,0.381912557,0.173913043,0
1.38669E-4,30.012260762,0.627872349,0.380115792,0.173913043,0
1.38986E-4,37.142059066,0.628711872,0.328907966,0.173913043,0
1.39006E-4,37.253254595,0.628765034,0.328109403,0.173913043,0
1.39119E-4,37.503562466,0.629062062,0.326312637,0.173913043,0
1.39254E-4,37.754107974,0.629419265,0.324515871,0.173913043,0
1.39628E-4,38.005137892,0.630405754,0.322719106,0.173913043,0
1.39967E-4,38.256816391,0.631299214,0.32092234,0.173913043,0
1.4019E-4,38.509012472,0.631884058,0.319125574,0.173913043,0
1.40496E-4,38.761645041,0.632686723,0.317328808,0.173913043,0
1.40867E-4,39.00077695,0.63365635,0.315631863,0.173913043,0
1.41378E-4,39.254732207,0.634988906,0.313835097,0.173913043,0
1.41809E-4,39.509594515,0.636107382,0.312038331,0.173913043,0
1.42196E-4,39.751047432,0.6371113,0.310341386,0.173913043,0
1.42573E-4,40.00742855,0.638083749,0.30854462,0.173913043,0
1.42782E-4,40.250018536,0.638623635,0.306847674,0.173913043,0
1.4309E-4,40.507351198,0.639416883,0.305050908,0.173913043,0
1.43403E-4,40.750862189,0.640220509,0.303353963,0.173913043,0
1.43676E-4,41.009201841,0.640918277,0.301557197,0.173913043,0
1.44096E-4,41.25384725,0.641993709,0.299860252,0.173913043,0
1.44533E-4,41.513600741,0.643105563,0.298063486,0.173913043,0
1.44882E-4,41.759612794,0.643992151,0.29636654,0.173913043,0
1.45139E-4,42.006127198,0.644643675,0.294669595,0.173913043,0
1.45485E-4,42.253120266,0.645520504,0.292972649,0.173913043,0
1.45845E-4,42.500774742,0.646428844,0.291275704,0.173913043,0
1.46391E-4,42.763774556,0.647801562,0.289478938,0.217391304,0
1.469E-4,43.013042864,0.649078919,0.287781992,0.217391304,0
1.47333E-4,43.263210725,0.650160094,0.286085047,0.217391304,0
1.47589E-4,43.51386352,0.650797056,0.284388101,0.217391304,0
1.47986E-4,43.750428437,0.65178486,0.282790976,0.217391304,0
1.4834E-4,44.002360602,0.652661801,0.281094031,0.217391304,0
1.48806E-4,44.269768702,0.653814558,0.279297265,0.217391304,0
1.4929E-4,44.508224614,0.655006798,0.27770014,0.217391304,0
