"specie","longitude","latitude"
"Crocothemis erythraea",10.33295,43.83183
"Crocothemis erythraea",10.24864,43.84524
"Crocothemis erythraea",10.30438,43.83294
"Crocothemis erythraea",10.25133,43.83893
"Crocothemis erythraea",10.24702,43.84259
"Crocothemis erythraea",10.24603,43.843
"Crocothemis erythraea",10.24813,43.84648
"Crocothemis erythraea",10.24912,43.83792
"Crocothemis erythraea",10.3073,43.90138
"Crocothemis erythraea",10.28136,43.8183
"Crocothemis erythraea",10.25021,43.83967
"Crocothemis erythraea",10.32501,43.87384
"Crocothemis erythraea",10.24604,43.84355
"Crocothemis erythraea",10.35285,43.83892
"Crocothemis erythraea",10.27148,43.78047
"Crocothemis erythraea",10.26805,43.78853
"Crocothemis erythraea",10.26803,43.7889
"Crocothemis erythraea",10.26831,43.78749
"Crocothemis erythraea",10.34473,43.81841
"Crocothemis erythraea",10.35144,43.83832
"Crocothemis erythraea",10.35293,43.8368
"Crocothemis erythraea",10.36265,43.82832
"Crocothemis erythraea",10.3523,43.8376
"Crocothemis erythraea",10.26828,43.78784
"Crocothemis erythraea",10.26822,43.78751
