"specie","longitude","latitude"
"Ischnura elegans",10.25182,43.83927
"Ischnura elegans",10.24872,43.84328
"Ischnura elegans",10.30719,43.83186
"Ischnura elegans",10.28136,43.8183
"Ischnura elegans",10.25156,43.83803
"Ischnura elegans",10.24729,43.84367
"Ischnura elegans",10.35277,43.83803
"Ischnura elegans",10.35262,43.839
"Ischnura elegans",10.35311,43.83688
"Ischnura elegans",10.27964,43.77752
"Ischnura elegans",10.36265,43.82832
"Ischnura elegans",10.35485,43.83817
"Ischnura elegans",10.35144,43.83832
"Ischnura elegans",10.3519,43.83882
"Ischnura elegans",10.35756,43.83441
"Ischnura elegans",10.28123,43.77686
