"specie","longitude","latitude"
"Orthetrum cancellatum",10.30845,43.83509
"Orthetrum cancellatum",10.24864,43.84524
"Orthetrum cancellatum",10.30489,43.83438
"Orthetrum cancellatum",10.3067,43.83294
"Orthetrum cancellatum",10.25168,43.83783
"Orthetrum cancellatum",10.31479,43.85062
"Orthetrum cancellatum",10.30719,43.83186
"Orthetrum cancellatum",10.28136,43.8183
"Orthetrum cancellatum",10.25144,43.83803
"Orthetrum cancellatum",10.25091,43.83852
"Orthetrum cancellatum",10.24786,43.84487
"Orthetrum cancellatum",10.35394,43.83708
"Orthetrum cancellatum",10.27128,43.78075
"Orthetrum cancellatum",10.26966,43.78151
"Orthetrum cancellatum",10.35571,43.83616
"Orthetrum cancellatum",10.35514,43.83643
"Orthetrum cancellatum",10.26864,43.78658
"Orthetrum cancellatum",10.37111,43.86028
"Orthetrum cancellatum",10.36265,43.82832
"Orthetrum cancellatum",10.28123,43.77686
"Orthetrum cancellatum",10.3514,43.83834
"Orthetrum cancellatum",10.35025,43.82602
"Orthetrum cancellatum",10.35464,43.83824
"Orthetrum cancellatum",10.35144,43.83832
"Orthetrum cancellatum",10.34223,43.82407
