"specie","longitude","latitude"
"Trithemis annulata",10.33218,43.85152
"Trithemis annulata",10.30845,43.83509
"Trithemis annulata",10.30438,43.83294
"Trithemis annulata",10.30502,43.8342
"Trithemis annulata",10.30665,43.83284
"Trithemis annulata",10.30449,43.83522
"Trithemis annulata",10.30719,43.83186
"Trithemis annulata",10.32635,43.87355
"Trithemis annulata",10.28136,43.8183
"Trithemis annulata",10.32662,43.8745
"Trithemis annulata",10.31479,43.85062
"Trithemis annulata",10.25875,43.82048
"Trithemis annulata",10.32797,43.83641
"Trithemis annulata",10.25154,43.83804
"Trithemis annulata",10.3526,43.83723
"Trithemis annulata",10.35202,43.84446
"Trithemis annulata",10.3548,43.83777
"Trithemis annulata",10.35576,43.83825
"Trithemis annulata",10.35233,43.83763
"Trithemis annulata",10.35222,43.83761
"Trithemis annulata",10.27148,43.78047
"Trithemis annulata",10.35584,43.83622
"Trithemis annulata",10.35637,43.83607
"Trithemis annulata",10.27615,43.77761
"Trithemis annulata",10.35141,43.83834
"Trithemis annulata",10.35141,43.8383
"Trithemis annulata",10.353,43.83733
"Trithemis annulata",10.3415,43.82322
"Trithemis annulata",10.35144,43.83832
"Trithemis annulata",10.35285,43.83907
