"specie","longitude","latitude"
"Podarcis siculus",10.25123,43.83905
"Podarcis siculus",10.2665,43.83137
"Podarcis siculus",10.2518,43.83976
"Podarcis siculus",10.2564,43.8449
"Podarcis siculus",10.25599,43.83935
"Podarcis siculus",10.26151,43.8148
"Podarcis siculus",10.28011,43.91702
"Podarcis siculus",10.297,43.82971
"Podarcis siculus",10.25869,43.81948
"Podarcis siculus",10.25154,43.84159
"Podarcis siculus",10.25149,43.83898
"Podarcis siculus",10.24884,43.84452
"Podarcis siculus",10.26496,43.80291
"Podarcis siculus",10.26833,43.78692
"Podarcis siculus",10.27258,43.78729
"Podarcis siculus",10.27964,43.77752
"Podarcis siculus",10.28026,43.77751
"Podarcis siculus",10.2808,43.77719
"Podarcis siculus",10.27964,43.77752
"Podarcis siculus",10.27225,43.78027
"Podarcis siculus",10.26848,43.78695
"Podarcis siculus",10.26194,43.80855
"Podarcis siculus",10.35961,43.83173
"Podarcis siculus",10.3593,43.8322
"Podarcis siculus",10.26745,43.79108
"Podarcis siculus",10.26944,43.78431
