"specie","longitude","latitude"
"Tarentola mauritanica",10.24568,43.87537
"Tarentola mauritanica",10.24544,43.87571
"Tarentola mauritanica",10.30623,43.83273
"Tarentola mauritanica",10.24916,43.87633
"Tarentola mauritanica",10.26741,43.86594
"Tarentola mauritanica",10.26524,43.86319
"Tarentola mauritanica",10.28086,43.91685
"Tarentola mauritanica",10.24978,43.8682
"Tarentola mauritanica",10.25055,43.86696
"Tarentola mauritanica",10.25048,43.86707
"Tarentola mauritanica",10.32796,43.76673
"Tarentola mauritanica",10.38162,43.80806
"Tarentola mauritanica",10.35645,43.8364
"Tarentola mauritanica",10.37041,43.78514
