"specie","longitude","latitude"
"Acrocephalus arundinaceus",10.33531,43.81798
"Acrocephalus arundinaceus",10.32275,43.81828
"Acrocephalus arundinaceus",10.32939,43.85363
"Acrocephalus arundinaceus",10.33106,43.81993
"Acrocephalus arundinaceus",10.33106,43.81993
"Acrocephalus arundinaceus",10.33106,43.81993
"Acrocephalus arundinaceus",10.31509,43.81927
"Acrocephalus arundinaceus",10.31509,43.81927
"Acrocephalus arundinaceus",10.32648,43.81959
"Acrocephalus arundinaceus",10.33365,43.8144
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.34032,43.8097
"Acrocephalus arundinaceus",10.35161,43.8179
"Acrocephalus arundinaceus",10.35655,43.83635
"Acrocephalus arundinaceus",10.35655,43.83635
