"specie","longitude","latitude"
"Acrocephalus melanopogon",10.30761,43.862
"Acrocephalus melanopogon",10.31479,43.81943
"Acrocephalus melanopogon",10.30813,43.83489
"Acrocephalus melanopogon",10.32939,43.85363
"Acrocephalus melanopogon",10.3527,43.8375
"Acrocephalus melanopogon",10.35394,43.83708
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35225,43.83882
"Acrocephalus melanopogon",10.35362,43.83775
"Acrocephalus melanopogon",10.35871,43.83281
"Acrocephalus melanopogon",10.35947,43.83176
"Acrocephalus melanopogon",10.35199,43.83857
"Acrocephalus melanopogon",10.34032,43.8097
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.3542,43.8371
"Acrocephalus melanopogon",10.353,43.8341
"Acrocephalus melanopogon",10.34032,43.8097
"Acrocephalus melanopogon",10.35696,43.8249
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.34032,43.8097
"Acrocephalus melanopogon",10.34032,43.8097
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
"Acrocephalus melanopogon",10.35655,43.83635
