"specie","longitude","latitude"
"Acrocephalus scirpaceus",10.30813,43.83489
"Acrocephalus scirpaceus",10.32939,43.85363
"Acrocephalus scirpaceus",10.33106,43.81993
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.31509,43.81927
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.31509,43.81927
"Acrocephalus scirpaceus",10.33106,43.81993
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.33365,43.8144
"Acrocephalus scirpaceus",10.32648,43.81959
"Acrocephalus scirpaceus",10.33106,43.81993
"Acrocephalus scirpaceus",10.32648,43.81959
"Acrocephalus scirpaceus",10.33106,43.81993
"Acrocephalus scirpaceus",10.35294,43.83732
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34515,43.81802
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.3522,43.8388
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.33984,43.80384
"Acrocephalus scirpaceus",10.34629,43.85928
"Acrocephalus scirpaceus",10.35589,43.83622
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.35161,43.8179
"Acrocephalus scirpaceus",10.35161,43.8179
"Acrocephalus scirpaceus",10.34515,43.81802
"Acrocephalus scirpaceus",10.34067,43.8149
"Acrocephalus scirpaceus",10.35589,43.83622
"Acrocephalus scirpaceus",10.34515,43.81802
"Acrocephalus scirpaceus",10.34515,43.81802
"Acrocephalus scirpaceus",10.33464,43.81034
"Acrocephalus scirpaceus",10.34032,43.8097
"Acrocephalus scirpaceus",10.34067,43.8149
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
"Acrocephalus scirpaceus",10.35655,43.83635
