"specie","longitude","latitude"
"Aegithalos caudatus",10.25076,43.84848
"Aegithalos caudatus",10.25453,43.83933
"Aegithalos caudatus",10.30761,43.862
"Aegithalos caudatus",10.30466,43.83258
"Aegithalos caudatus",10.2422,43.8766
"Aegithalos caudatus",10.30813,43.83489
"Aegithalos caudatus",10.2413,43.8782
"Aegithalos caudatus",10.26791,43.79061
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35393,43.83826
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.39782,43.79909
"Aegithalos caudatus",10.34032,43.8097
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.353,43.8341
"Aegithalos caudatus",10.27253,43.77972
"Aegithalos caudatus",10.28016,43.77729
"Aegithalos caudatus",10.36157,43.83153
"Aegithalos caudatus",10.34515,43.81802
"Aegithalos caudatus",10.26947,43.78473
"Aegithalos caudatus",10.35655,43.83635
"Aegithalos caudatus",10.28023,43.77719
"Aegithalos caudatus",10.35655,43.83635
