"specie","longitude","latitude"
"Alcedo atthis",10.33229,43.85452
"Alcedo atthis",10.30761,43.862
"Alcedo atthis",10.32114,43.81122
"Alcedo atthis",10.32215,43.8184
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35144,43.83825
"Alcedo atthis",10.35,43.83
"Alcedo atthis",10.34643,43.8455
"Alcedo atthis",10.35,43.83
"Alcedo atthis",10.35142,43.83831
"Alcedo atthis",10.35235,43.84294
"Alcedo atthis",10.35183,43.84128
"Alcedo atthis",10.35215,43.83855
"Alcedo atthis",10.35,43.83
"Alcedo atthis",10.3565,43.83658
"Alcedo atthis",10.35566,43.83649
"Alcedo atthis",10.35595,43.83624
"Alcedo atthis",10.35785,43.83399
"Alcedo atthis",10.35475,43.83673
"Alcedo atthis",10.34579,43.84564
"Alcedo atthis",10.353,43.83735
"Alcedo atthis",10.35276,43.83688
"Alcedo atthis",10.35294,43.83682
"Alcedo atthis",10.3514,43.83832
"Alcedo atthis",10.34921,43.84667
"Alcedo atthis",10.35231,43.83762
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35393,43.83826
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.28061,43.77717
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.27688,43.77768
"Alcedo atthis",10.27732,43.77757
"Alcedo atthis",10.27732,43.77757
"Alcedo atthis",10.3563,43.8362
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.34767,43.81647
"Alcedo atthis",10.36196,43.82238
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.35161,43.8179
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.33464,43.81034
"Alcedo atthis",10.33464,43.81034
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.32466,43.80471
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.34032,43.8097
"Alcedo atthis",10.34767,43.81647
"Alcedo atthis",10.34767,43.81647
"Alcedo atthis",10.32466,43.80471
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.2725,43.77998
"Alcedo atthis",10.34515,43.81802
"Alcedo atthis",10.28016,43.77729
"Alcedo atthis",10.32108,43.80445
"Alcedo atthis",10.35161,43.8179
"Alcedo atthis",10.28016,43.77729
"Alcedo atthis",10.268,43.78836
"Alcedo atthis",10.35119,43.8418
"Alcedo atthis",10.35655,43.83635
"Alcedo atthis",10.28023,43.77719
"Alcedo atthis",10.28023,43.77719
