"specie","longitude","latitude"
"Anas platyrhynchos",10.31849,43.84204
"Anas platyrhynchos",10.30716,43.83225
"Anas platyrhynchos",10.23129,43.88933
"Anas platyrhynchos",10.32939,43.85363
"Anas platyrhynchos",10.32939,43.85363
"Anas platyrhynchos",10.25453,43.83933
"Anas platyrhynchos",10.30813,43.83489
"Anas platyrhynchos",10.30813,43.83489
"Anas platyrhynchos",10.30761,43.862
"Anas platyrhynchos",10.30694,43.83242
"Anas platyrhynchos",10.30466,43.83258
"Anas platyrhynchos",10.30814,43.8347
"Anas platyrhynchos",10.30813,43.83489
"Anas platyrhynchos",10.30813,43.83489
"Anas platyrhynchos",10.32939,43.85363
"Anas platyrhynchos",10.33295,43.83183
"Anas platyrhynchos",10.32114,43.81122
"Anas platyrhynchos",10.32215,43.8184
"Anas platyrhynchos",10.31509,43.81927
"Anas platyrhynchos",10.33106,43.81993
"Anas platyrhynchos",10.33106,43.81993
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.31509,43.81927
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.32939,43.85363
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.3193,43.82231
"Anas platyrhynchos",10.3193,43.82231
"Anas platyrhynchos",10.33365,43.8144
"Anas platyrhynchos",10.33704,43.81975
"Anas platyrhynchos",10.32215,43.8184
"Anas platyrhynchos",10.32648,43.81959
"Anas platyrhynchos",10.3193,43.82231
"Anas platyrhynchos",10.33106,43.81993
"Anas platyrhynchos",10.3193,43.82231
"Anas platyrhynchos",10.33106,43.81993
"Anas platyrhynchos",10.33106,43.81993
"Anas platyrhynchos",10.29694,43.82982
"Anas platyrhynchos",10.30507,43.83247
"Anas platyrhynchos",10.35622,43.83597
"Anas platyrhynchos",10.35622,43.83597
"Anas platyrhynchos",10.35622,43.83597
"Anas platyrhynchos",10.35151,43.83941
"Anas platyrhynchos",10.35151,43.83941
"Anas platyrhynchos",10.35561,43.83638
"Anas platyrhynchos",10.35561,43.83638
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35139,43.83968
"Anas platyrhynchos",10.35139,43.83968
"Anas platyrhynchos",10.35139,43.83968
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35253,43.8359
"Anas platyrhynchos",10.35137,43.83971
"Anas platyrhynchos",10.35137,43.83971
"Anas platyrhynchos",10.35137,43.83971
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35237,43.83474
"Anas platyrhynchos",10.35,43.83
"Anas platyrhynchos",10.35403,43.83697
"Anas platyrhynchos",10.3515,43.83825
"Anas platyrhynchos",10.35222,43.83761
"Anas platyrhynchos",10.35585,43.83762
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.35261,43.84408
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.32466,43.80471
"Anas platyrhynchos",10.34032,43.8097
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
"Anas platyrhynchos",10.35655,43.83635
