"specie","longitude","latitude"
"Anthus pratensis",10.30761,43.862
"Anthus pratensis",10.24666,43.84616
"Anthus pratensis",10.33508,43.81068
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.36196,43.82238
"Anthus pratensis",10.35696,43.8249
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34032,43.8097
"Anthus pratensis",10.34067,43.8149
"Anthus pratensis",10.34067,43.8149
"Anthus pratensis",10.34067,43.8149
"Anthus pratensis",10.34067,43.8149
