"specie","longitude","latitude"
"Apus apus",10.24099,43.87125
"Apus apus",10.30813,43.83489
"Apus apus",10.30813,43.83489
"Apus apus",10.26079,43.81903
"Apus apus",10.31509,43.81927
"Apus apus",10.33365,43.8144
"Apus apus",10.23728,43.88174
"Apus apus",10.23934,43.8824
"Apus apus",10.33106,43.81993
"Apus apus",10.33106,43.81993
"Apus apus",10.32648,43.81959
"Apus apus",10.32648,43.81959
"Apus apus",10.33365,43.8144
"Apus apus",10.24462,43.86698
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.34032,43.8097
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.35655,43.83635
"Apus apus",10.34032,43.8097
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.34032,43.8097
"Apus apus",10.30774,43.76577
"Apus apus",10.35655,43.83635
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.37076,43.8144
"Apus apus",10.34515,43.81802
"Apus apus",10.35858,43.81519
"Apus apus",10.34515,43.81802
"Apus apus",10.33464,43.81034
"Apus apus",10.34032,43.8097
"Apus apus",10.35161,43.8179
"Apus apus",10.34067,43.8149
"Apus apus",10.34515,43.81802
"Apus apus",10.35858,43.81519
"Apus apus",10.35589,43.83622
"Apus apus",10.28016,43.77729
"Apus apus",10.35589,43.83622
"Apus apus",10.34032,43.8097
"Apus apus",10.34032,43.8097
"Apus apus",10.33984,43.80384
"Apus apus",10.35655,43.83635
"Apus apus",10.35161,43.8179
"Apus apus",10.34067,43.8149
"Apus apus",10.35161,43.8179
"Apus apus",10.32466,43.80471
"Apus apus",10.34067,43.8149
"Apus apus",10.34067,43.8149
"Apus apus",10.34032,43.8097
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.35655,43.83635
"Apus apus",10.26726,43.79415
"Apus apus",10.28023,43.77719
"Apus apus",10.36895,43.83579
"Apus apus",10.35655,43.83635
