"specie","longitude","latitude"
"Ardea alba",10.33442,43.81774
"Ardea alba",10.33164,43.81408
"Ardea alba",10.30761,43.862
"Ardea alba",10.29242,43.84401
"Ardea alba",10.32939,43.85363
"Ardea alba",10.30813,43.83489
"Ardea alba",10.32939,43.85363
"Ardea alba",10.32215,43.8184
"Ardea alba",10.32114,43.81122
"Ardea alba",10.31509,43.81927
"Ardea alba",10.33365,43.8144
"Ardea alba",10.33365,43.8144
"Ardea alba",10.32939,43.85363
"Ardea alba",10.33365,43.8144
"Ardea alba",10.33365,43.8144
"Ardea alba",10.33365,43.8144
"Ardea alba",10.3193,43.82231
"Ardea alba",10.32215,43.8184
"Ardea alba",10.33365,43.8144
"Ardea alba",10.33106,43.81993
"Ardea alba",10.33365,43.8144
"Ardea alba",10.33419,43.81407
"Ardea alba",10.33106,43.81993
"Ardea alba",10.33106,43.81993
"Ardea alba",10.33106,43.81993
"Ardea alba",10.35211,43.83954
"Ardea alba",10.35164,43.8401
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35106,43.83665
"Ardea alba",10.36,43.82
"Ardea alba",10.35033,43.84013
"Ardea alba",10.33427,43.8101
"Ardea alba",10.35655,43.83635
"Ardea alba",10.34032,43.8097
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35393,43.83826
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35261,43.84408
"Ardea alba",10.34032,43.8097
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.34032,43.8097
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.28061,43.77717
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.34032,43.8097
"Ardea alba",10.34032,43.8097
"Ardea alba",10.35655,43.83635
"Ardea alba",10.35655,43.83635
"Ardea alba",10.27217,43.7801
"Ardea alba",10.32445,43.76318
"Ardea alba",10.28767,43.77374
"Ardea alba",10.35584,43.7796
"Ardea alba",10.28079,43.77753
"Ardea alba",10.3245,43.76317
"Ardea alba",10.28043,43.77714
"Ardea alba",10.27718,43.7794
"Ardea alba",10.36846,43.82412
"Ardea alba",10.27675,43.77975
"Ardea alba",10.30366,43.76545
"Ardea alba",10.32564,43.78608
"Ardea alba",10.27809,43.77736
"Ardea alba",10.27804,43.77733
"Ardea alba",10.28073,43.77733
"Ardea alba",10.27652,43.77913
"Ardea alba",10.28372,43.77582
