"specie","longitude","latitude"
"Ardea cinerea",10.33509,43.84021
"Ardea cinerea",10.33295,43.83183
"Ardea cinerea",10.23124,43.88942
"Ardea cinerea",10.25076,43.84848
"Ardea cinerea",10.25453,43.83933
"Ardea cinerea",10.30813,43.83489
"Ardea cinerea",10.30761,43.862
"Ardea cinerea",10.25742,43.81887
"Ardea cinerea",10.30813,43.83489
"Ardea cinerea",10.32939,43.85363
"Ardea cinerea",10.31509,43.81927
"Ardea cinerea",10.32114,43.81122
"Ardea cinerea",10.32215,43.8184
"Ardea cinerea",10.31509,43.81927
"Ardea cinerea",10.33365,43.8144
"Ardea cinerea",10.33365,43.8144
"Ardea cinerea",10.33365,43.8144
"Ardea cinerea",10.33365,43.8144
"Ardea cinerea",10.3193,43.82231
"Ardea cinerea",10.32939,43.85363
"Ardea cinerea",10.32215,43.8184
"Ardea cinerea",10.33365,43.8144
"Ardea cinerea",10.3193,43.82231
"Ardea cinerea",10.33974,43.81438
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35013,43.83735
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35145,43.83967
"Ardea cinerea",10.35197,43.83757
"Ardea cinerea",10.35167,43.8402
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35143,43.83824
"Ardea cinerea",10.35253,43.83616
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35168,43.83957
"Ardea cinerea",10.35168,43.83957
"Ardea cinerea",10.35251,43.83614
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35118,43.83985
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34639,43.83535
"Ardea cinerea",10.35015,43.83813
"Ardea cinerea",10.35448,43.83643
"Ardea cinerea",10.35142,43.83839
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34515,43.81802
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35393,43.83826
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.31761,43.80305
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.28061,43.77717
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.32028,43.80435
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
"Ardea cinerea",10.35655,43.83635
"Ardea cinerea",10.34032,43.8097
