"specie","longitude","latitude"
"Ardea purpurea",10.32685,43.8434
"Ardea purpurea",10.32411,43.84487
"Ardea purpurea",10.33738,43.84589
"Ardea purpurea",10.33299,43.81827
"Ardea purpurea",10.25222,43.84012
"Ardea purpurea",10.30813,43.83489
"Ardea purpurea",10.3394,43.82238
"Ardea purpurea",10.32939,43.85363
"Ardea purpurea",10.32939,43.85363
"Ardea purpurea",10.25195,43.83786
"Ardea purpurea",10.33106,43.81993
"Ardea purpurea",10.31509,43.81927
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.31509,43.81927
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.32939,43.85363
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.32648,43.81959
"Ardea purpurea",10.33106,43.81993
"Ardea purpurea",10.32648,43.81959
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.33365,43.8144
"Ardea purpurea",10.35107,43.83706
"Ardea purpurea",10.35153,43.83642
"Ardea purpurea",10.35052,43.83721
"Ardea purpurea",10.35302,43.83716
"Ardea purpurea",10.34601,43.8415
"Ardea purpurea",10.35212,43.83414
"Ardea purpurea",10.35212,43.83414
"Ardea purpurea",10.35212,43.83414
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35228,43.83763
"Ardea purpurea",10.35612,43.83629
"Ardea purpurea",10.35145,43.83834
"Ardea purpurea",10.35459,43.83677
"Ardea purpurea",10.35067,43.83747
"Ardea purpurea",10.3523,43.83747
"Ardea purpurea",10.35141,43.83834
"Ardea purpurea",10.35367,43.83715
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34045,43.86118
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.37369,43.81462
"Ardea purpurea",10.37325,43.81417
"Ardea purpurea",10.35212,43.82661
"Ardea purpurea",10.35294,43.84076
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35236,43.83761
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.35589,43.83622
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35858,43.81519
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.33984,43.80384
"Ardea purpurea",10.34767,43.81647
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35589,43.83622
"Ardea purpurea",10.32466,43.80471
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34067,43.8149
"Ardea purpurea",10.35161,43.8179
"Ardea purpurea",10.34067,43.8149
"Ardea purpurea",10.35161,43.8179
"Ardea purpurea",10.34515,43.81802
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.34032,43.8097
"Ardea purpurea",10.31593,43.76452
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
"Ardea purpurea",10.35655,43.83635
