"specie","longitude","latitude"
"Ardeola ralloides",10.33106,43.81993
"Ardeola ralloides",10.35002,43.83739
"Ardeola ralloides",10.35002,43.83739
"Ardeola ralloides",10.35087,43.8383
"Ardeola ralloides",10.35035,43.83786
"Ardeola ralloides",10.35035,43.8383
"Ardeola ralloides",10.35035,43.8383
"Ardeola ralloides",10.35154,43.83721
"Ardeola ralloides",10.35134,43.8375
"Ardeola ralloides",10.35088,43.83721
"Ardeola ralloides",10.35174,43.83682
"Ardeola ralloides",10.35155,43.83792
"Ardeola ralloides",10.35162,43.83628
"Ardeola ralloides",10.35115,43.83762
"Ardeola ralloides",10.35199,43.8372
"Ardeola ralloides",10.35219,43.83759
"Ardeola ralloides",10.35224,43.83752
"Ardeola ralloides",10.35204,43.83753
"Ardeola ralloides",10.35204,43.83752
"Ardeola ralloides",10.36821,43.80273
"Ardeola ralloides",10.34843,43.84635
"Ardeola ralloides",10.35235,43.83773
"Ardeola ralloides",10.35284,43.83745
"Ardeola ralloides",10.35101,43.83784
"Ardeola ralloides",10.3523,43.83747
"Ardeola ralloides",10.35294,43.8368
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.35209,43.83753
"Ardeola ralloides",10.26837,43.78686
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.34032,43.8097
"Ardeola ralloides",10.35655,43.83635
"Ardeola ralloides",10.3537,43.83649
"Ardeola ralloides",10.34032,43.8097
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34032,43.8097
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34032,43.8097
"Ardeola ralloides",10.34032,43.8097
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34767,43.81647
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34767,43.81647
"Ardeola ralloides",10.34515,43.81802
"Ardeola ralloides",10.34515,43.81802
