"specie","longitude","latitude"
"Bubulcus ibis",10.32939,43.85363
"Bubulcus ibis",10.32939,43.85363
"Bubulcus ibis",10.30761,43.862
"Bubulcus ibis",10.29797,43.83353
"Bubulcus ibis",10.31479,43.81943
"Bubulcus ibis",10.30813,43.83489
"Bubulcus ibis",10.32504,43.82072
"Bubulcus ibis",10.33365,43.8144
"Bubulcus ibis",10.33365,43.8144
"Bubulcus ibis",10.33365,43.8144
"Bubulcus ibis",10.3193,43.82231
"Bubulcus ibis",10.3193,43.82231
"Bubulcus ibis",10.33106,43.81993
"Bubulcus ibis",10.33106,43.81993
"Bubulcus ibis",10.33106,43.81993
"Bubulcus ibis",10.36,43.82
"Bubulcus ibis",10.36,43.81
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35185,43.83713
"Bubulcus ibis",10.34388,43.79235
"Bubulcus ibis",10.32938,43.76484
"Bubulcus ibis",10.32656,43.7646
"Bubulcus ibis",10.35146,43.77571
"Bubulcus ibis",10.36885,43.81374
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.33766,43.76657
"Bubulcus ibis",10.35655,43.83635
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.35858,43.81519
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.36196,43.82238
"Bubulcus ibis",10.35696,43.8249
"Bubulcus ibis",10.34767,43.81647
"Bubulcus ibis",10.35858,43.81519
"Bubulcus ibis",10.33464,43.81034
"Bubulcus ibis",10.34767,43.81647
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35161,43.8179
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.35161,43.8179
"Bubulcus ibis",10.31761,43.80305
"Bubulcus ibis",10.37076,43.8144
"Bubulcus ibis",10.37076,43.8144
"Bubulcus ibis",10.34767,43.81647
"Bubulcus ibis",10.33464,43.81034
"Bubulcus ibis",10.35858,43.81519
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.37076,43.8144
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.37076,43.8144
"Bubulcus ibis",10.34032,43.8097
"Bubulcus ibis",10.34067,43.8149
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.35161,43.8179
"Bubulcus ibis",10.34515,43.81802
"Bubulcus ibis",10.35161,43.8179
"Bubulcus ibis",10.32929,43.80656
"Bubulcus ibis",10.34843,43.83403
"Bubulcus ibis",10.28023,43.77719
"Bubulcus ibis",10.28023,43.77719
"Bubulcus ibis",10.35655,43.83635
