"specie","longitude","latitude"
"Buteo buteo",10.25101,43.84207
"Buteo buteo",10.33295,43.83183
"Buteo buteo",10.33295,43.83183
"Buteo buteo",10.33295,43.83183
"Buteo buteo",10.33295,43.83183
"Buteo buteo",10.25076,43.84848
"Buteo buteo",10.30761,43.862
"Buteo buteo",10.30813,43.83489
"Buteo buteo",10.32939,43.85363
"Buteo buteo",10.31509,43.81927
"Buteo buteo",10.32114,43.81122
"Buteo buteo",10.3193,43.82231
"Buteo buteo",10.31509,43.81927
"Buteo buteo",10.3193,43.82231
"Buteo buteo",10.33365,43.8144
"Buteo buteo",10.3193,43.82231
"Buteo buteo",10.33531,43.81798
"Buteo buteo",10.32648,43.81959
"Buteo buteo",10.33704,43.81975
"Buteo buteo",10.26019,43.89158
"Buteo buteo",10.33106,43.81993
"Buteo buteo",10.25124,43.84388
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.31593,43.76452
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35261,43.84408
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.30693,43.76441
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.29209,43.77486
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.32466,43.80471
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.31761,43.80305
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.32592,43.80491
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35378,43.77797
"Buteo buteo",10.307,43.76431
"Buteo buteo",10.31623,43.76474
"Buteo buteo",10.32951,43.76511
"Buteo buteo",10.3563,43.8362
"Buteo buteo",10.32015,43.76522
"Buteo buteo",10.33742,43.76822
"Buteo buteo",10.3702,43.8229
"Buteo buteo",10.30528,43.7661
"Buteo buteo",10.38959,43.80359
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.33766,43.76657
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.31877,43.75278
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.34032,43.8097
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.35655,43.83635
"Buteo buteo",10.32529,43.80481
"Buteo buteo",10.34032,43.8097
