"specie","longitude","latitude"
"Carduelis carduelis",10.30761,43.862
"Carduelis carduelis",10.25742,43.81887
"Carduelis carduelis",10.30466,43.83258
"Carduelis carduelis",10.32939,43.85363
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.26636,43.79263
"Carduelis carduelis",10.26626,43.7922
"Carduelis carduelis",10.35393,43.83826
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.27658,43.77766
"Carduelis carduelis",10.32466,43.80471
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.31761,43.80305
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.29705,43.77406
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.35858,43.81519
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.37076,43.8144
"Carduelis carduelis",10.35858,43.81519
"Carduelis carduelis",10.34515,43.81802
"Carduelis carduelis",10.34515,43.81802
"Carduelis carduelis",10.33464,43.81034
"Carduelis carduelis",10.33984,43.80384
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.37076,43.8144
"Carduelis carduelis",10.35589,43.83622
"Carduelis carduelis",10.31761,43.80305
"Carduelis carduelis",10.34767,43.81647
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.34515,43.81802
"Carduelis carduelis",10.39782,43.79909
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.34515,43.81802
"Carduelis carduelis",10.32466,43.80471
"Carduelis carduelis",10.33464,43.81034
"Carduelis carduelis",10.35858,43.81519
"Carduelis carduelis",10.28016,43.77729
"Carduelis carduelis",10.26763,43.79112
"Carduelis carduelis",10.26788,43.79349
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.34032,43.8097
"Carduelis carduelis",10.37206,43.80406
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.26708,43.79073
"Carduelis carduelis",10.26748,43.79123
"Carduelis carduelis",10.35119,43.8418
"Carduelis carduelis",10.35618,43.83624
"Carduelis carduelis",10.28023,43.77719
"Carduelis carduelis",10.35655,43.83635
"Carduelis carduelis",10.26726,43.79415
"Carduelis carduelis",10.28023,43.77719
"Carduelis carduelis",10.36895,43.83579
"Carduelis carduelis",10.35655,43.83635
