"specie","longitude","latitude"
"Cettia cetti",10.32939,43.85363
"Cettia cetti",10.32939,43.85363
"Cettia cetti",10.30813,43.83489
"Cettia cetti",10.30761,43.862
"Cettia cetti",10.33229,43.85452
"Cettia cetti",10.32939,43.85363
"Cettia cetti",10.30813,43.83489
"Cettia cetti",10.31479,43.81943
"Cettia cetti",10.32939,43.85363
"Cettia cetti",10.3238,43.8181
"Cettia cetti",10.32114,43.81122
"Cettia cetti",10.33106,43.81993
"Cettia cetti",10.31509,43.81927
"Cettia cetti",10.33704,43.81975
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.31509,43.81927
"Cettia cetti",10.3193,43.82231
"Cettia cetti",10.33531,43.81798
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.32939,43.85363
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.31509,43.81927
"Cettia cetti",10.3193,43.82231
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.3193,43.82231
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.33531,43.81798
"Cettia cetti",10.3193,43.82231
"Cettia cetti",10.33704,43.81975
"Cettia cetti",10.33704,43.81975
"Cettia cetti",10.33106,43.81993
"Cettia cetti",10.33365,43.8144
"Cettia cetti",10.32648,43.81959
"Cettia cetti",10.32648,43.81959
"Cettia cetti",10.33106,43.81993
"Cettia cetti",10.3193,43.82231
"Cettia cetti",10.33106,43.81993
"Cettia cetti",10.31647,43.86029
"Cettia cetti",10.33106,43.81993
"Cettia cetti",10.3527,43.8375
"Cettia cetti",10.35,43.83
"Cettia cetti",10.35,43.83
"Cettia cetti",10.35,43.83
"Cettia cetti",10.35,43.83
"Cettia cetti",10.35278,43.83686
"Cettia cetti",10.35513,43.83647
"Cettia cetti",10.35257,43.83757
"Cettia cetti",10.35452,43.83673
"Cettia cetti",10.35463,43.8368
"Cettia cetti",10.35227,43.84278
"Cettia cetti",10.35655,43.83635
"Cettia cetti",10.35655,43.83635
"Cettia cetti",10.34032,43.8097
"Cettia cetti",10.34032,43.8097
"Cettia cetti",10.35655,43.83635
"Cettia cetti",10.35393,43.83826
