"specie","longitude","latitude"
"Chloris chloris",10.25453,43.83933
"Chloris chloris",10.32138,43.81909
"Chloris chloris",10.25742,43.81887
"Chloris chloris",10.32939,43.85363
"Chloris chloris",10.26635,43.79263
"Chloris chloris",10.35655,43.83635
"Chloris chloris",10.35655,43.83635
"Chloris chloris",10.27658,43.77766
"Chloris chloris",10.35655,43.83635
"Chloris chloris",10.34032,43.8097
"Chloris chloris",10.35655,43.83635
"Chloris chloris",10.35655,43.83635
"Chloris chloris",10.34515,43.81802
"Chloris chloris",10.35858,43.81519
"Chloris chloris",10.35858,43.81519
"Chloris chloris",10.37076,43.8144
"Chloris chloris",10.31761,43.80305
"Chloris chloris",10.39782,43.79909
"Chloris chloris",10.34032,43.8097
"Chloris chloris",10.34032,43.8097
"Chloris chloris",10.32466,43.80471
"Chloris chloris",10.34032,43.8097
"Chloris chloris",10.34032,43.8097
"Chloris chloris",10.26728,43.79078
"Chloris chloris",10.28023,43.77719
"Chloris chloris",10.28023,43.77719
"Chloris chloris",10.36895,43.83579
