"specie","longitude","latitude"
"Chroicocephalus ridibundus",10.32622,43.84556
"Chroicocephalus ridibundus",10.23189,43.8894
"Chroicocephalus ridibundus",10.32939,43.85363
"Chroicocephalus ridibundus",10.32939,43.85363
"Chroicocephalus ridibundus",10.30813,43.83489
"Chroicocephalus ridibundus",10.24099,43.87125
"Chroicocephalus ridibundus",10.30761,43.862
"Chroicocephalus ridibundus",10.2322,43.88941
"Chroicocephalus ridibundus",10.30677,43.83203
"Chroicocephalus ridibundus",10.33539,43.83156
"Chroicocephalus ridibundus",10.25742,43.81887
"Chroicocephalus ridibundus",10.30814,43.8347
"Chroicocephalus ridibundus",10.30813,43.83489
"Chroicocephalus ridibundus",10.30813,43.83489
"Chroicocephalus ridibundus",10.24418,43.86471
"Chroicocephalus ridibundus",10.24418,43.86471
"Chroicocephalus ridibundus",10.33365,43.8144
"Chroicocephalus ridibundus",10.33704,43.81975
"Chroicocephalus ridibundus",10.33365,43.8144
"Chroicocephalus ridibundus",10.3193,43.82231
"Chroicocephalus ridibundus",10.30702,43.83229
"Chroicocephalus ridibundus",10.24467,43.86509
"Chroicocephalus ridibundus",10.24469,43.86518
"Chroicocephalus ridibundus",10.30507,43.83247
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35074,43.83445
"Chroicocephalus ridibundus",10.35233,43.83763
"Chroicocephalus ridibundus",10.36065,43.83621
"Chroicocephalus ridibundus",10.35231,43.83765
"Chroicocephalus ridibundus",10.35568,43.83621
"Chroicocephalus ridibundus",10.35222,43.83761
"Chroicocephalus ridibundus",10.35233,43.83759
"Chroicocephalus ridibundus",10.35425,43.83699
"Chroicocephalus ridibundus",10.35271,43.83677
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35393,43.83826
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35253,43.83893
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.3514,43.83832
"Chroicocephalus ridibundus",10.3514,43.83832
"Chroicocephalus ridibundus",10.35241,43.8378
"Chroicocephalus ridibundus",10.26933,43.78172
"Chroicocephalus ridibundus",10.3563,43.8362
"Chroicocephalus ridibundus",10.35038,43.83791
"Chroicocephalus ridibundus",10.3529,43.83676
"Chroicocephalus ridibundus",10.26929,43.78172
"Chroicocephalus ridibundus",10.26929,43.78167
"Chroicocephalus ridibundus",10.35141,43.83832
"Chroicocephalus ridibundus",10.27548,43.77799
"Chroicocephalus ridibundus",10.26931,43.78171
"Chroicocephalus ridibundus",10.27522,43.77818
"Chroicocephalus ridibundus",10.34388,43.79235
"Chroicocephalus ridibundus",10.26917,43.7825
"Chroicocephalus ridibundus",10.26975,43.78144
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35565,43.83615
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34767,43.81647
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35696,43.8249
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.35589,43.83622
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34032,43.8097
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.35161,43.8179
"Chroicocephalus ridibundus",10.33464,43.81034
"Chroicocephalus ridibundus",10.32466,43.80471
"Chroicocephalus ridibundus",10.34767,43.81647
"Chroicocephalus ridibundus",10.2725,43.77998
"Chroicocephalus ridibundus",10.32466,43.80471
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34247,43.81842
"Chroicocephalus ridibundus",10.35161,43.8179
"Chroicocephalus ridibundus",10.35161,43.8179
"Chroicocephalus ridibundus",10.34515,43.81802
"Chroicocephalus ridibundus",10.35161,43.8179
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.34163,43.81862
"Chroicocephalus ridibundus",10.35119,43.8418
"Chroicocephalus ridibundus",10.35618,43.83624
"Chroicocephalus ridibundus",10.34843,43.83403
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
"Chroicocephalus ridibundus",10.35655,43.83635
