"specie","longitude","latitude"
"Circus aeruginosus",10.32404,43.84725
"Circus aeruginosus",10.33243,43.81302
"Circus aeruginosus",10.25101,43.83958
"Circus aeruginosus",10.32218,43.8421
"Circus aeruginosus",10.30813,43.83489
"Circus aeruginosus",10.30761,43.862
"Circus aeruginosus",10.3394,43.82238
"Circus aeruginosus",10.28049,43.86065
"Circus aeruginosus",10.30466,43.83258
"Circus aeruginosus",10.32939,43.85363
"Circus aeruginosus",10.30813,43.83489
"Circus aeruginosus",10.32939,43.85363
"Circus aeruginosus",10.33106,43.81993
"Circus aeruginosus",10.32215,43.8184
"Circus aeruginosus",10.31509,43.81927
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.33106,43.81993
"Circus aeruginosus",10.31509,43.81927
"Circus aeruginosus",10.31509,43.81927
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.32939,43.85363
"Circus aeruginosus",10.3193,43.82231
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.32939,43.85363
"Circus aeruginosus",10.3193,43.82231
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.3193,43.82231
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.32648,43.81959
"Circus aeruginosus",10.33365,43.8144
"Circus aeruginosus",10.33693,43.81209
"Circus aeruginosus",10.31647,43.86029
"Circus aeruginosus",10.33106,43.81993
"Circus aeruginosus",10.35291,43.83824
"Circus aeruginosus",10.35023,43.83839
"Circus aeruginosus",10.35102,43.83725
"Circus aeruginosus",10.34924,43.83938
"Circus aeruginosus",10.35,43.83
"Circus aeruginosus",10.35228,43.84106
"Circus aeruginosus",10.35,43.83
"Circus aeruginosus",10.34664,43.84447
"Circus aeruginosus",10.35294,43.8392
"Circus aeruginosus",10.35353,43.83561
"Circus aeruginosus",10.35437,43.83614
"Circus aeruginosus",10.35786,43.834
"Circus aeruginosus",10.35589,43.83622
"Circus aeruginosus",10.35351,43.83712
"Circus aeruginosus",10.35183,43.83844
"Circus aeruginosus",10.32863,43.7833
"Circus aeruginosus",10.35302,43.83982
"Circus aeruginosus",10.35304,43.83725
"Circus aeruginosus",10.3533,43.83901
"Circus aeruginosus",10.35394,43.83708
"Circus aeruginosus",10.35271,43.83751
"Circus aeruginosus",10.35132,43.84042
"Circus aeruginosus",10.3514,43.83834
"Circus aeruginosus",10.35253,43.84102
"Circus aeruginosus",10.30679,43.76458
"Circus aeruginosus",10.35439,43.83687
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35261,43.84408
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35286,43.83865
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.30942,43.76323
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35275,43.83754
"Circus aeruginosus",10.30381,43.76721
"Circus aeruginosus",10.35243,43.83895
"Circus aeruginosus",10.35423,43.83693
"Circus aeruginosus",10.35197,43.83877
"Circus aeruginosus",10.27439,43.77974
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35565,43.83615
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.31877,43.75278
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.33127,43.80788
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.36196,43.82238
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35696,43.8249
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.32466,43.80471
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34767,43.81647
"Circus aeruginosus",10.34767,43.81647
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.35589,43.83622
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.35858,43.81519
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35589,43.83622
"Circus aeruginosus",10.35161,43.8179
"Circus aeruginosus",10.34067,43.8149
"Circus aeruginosus",10.35161,43.8179
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.35655,43.83635
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.31761,43.80305
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.31761,43.80305
"Circus aeruginosus",10.35161,43.8179
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.31761,43.80305
"Circus aeruginosus",10.36157,43.83153
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34767,43.81647
"Circus aeruginosus",10.32466,43.80471
"Circus aeruginosus",10.34067,43.8149
"Circus aeruginosus",10.34767,43.81647
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.35161,43.8179
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.37076,43.8144
"Circus aeruginosus",10.32466,43.80471
"Circus aeruginosus",10.34067,43.8149
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.35858,43.81519
"Circus aeruginosus",10.34515,43.81802
"Circus aeruginosus",10.32466,43.80471
"Circus aeruginosus",10.34067,43.8149
"Circus aeruginosus",10.37076,43.8144
"Circus aeruginosus",10.35161,43.8179
"Circus aeruginosus",10.33464,43.81034
"Circus aeruginosus",10.37076,43.8144
"Circus aeruginosus",10.34032,43.8097
"Circus aeruginosus",10.34032,43.8097
