"specie","longitude","latitude"
"Circus cyaneus",10.30761,43.862
"Circus cyaneus",10.32114,43.81122
"Circus cyaneus",10.31509,43.81927
"Circus cyaneus",10.33365,43.8144
"Circus cyaneus",10.3193,43.82231
"Circus cyaneus",10.33365,43.8144
"Circus cyaneus",10.33531,43.81798
"Circus cyaneus",10.3193,43.82231
"Circus cyaneus",10.32648,43.81959
"Circus cyaneus",10.33365,43.8144
"Circus cyaneus",10.3193,43.82231
"Circus cyaneus",10.3193,43.82231
"Circus cyaneus",10.3193,43.82231
"Circus cyaneus",10.33106,43.81993
"Circus cyaneus",10.32806,43.80602
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.35393,43.83826
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.35655,43.83635
"Circus cyaneus",10.39782,43.79909
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.31761,43.80305
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.35696,43.8249
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.33464,43.81034
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.35858,43.81519
"Circus cyaneus",10.34067,43.8149
"Circus cyaneus",10.34515,43.81802
"Circus cyaneus",10.33464,43.81034
"Circus cyaneus",10.36196,43.82238
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.34067,43.8149
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.33464,43.81034
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.32466,43.80471
"Circus cyaneus",10.37076,43.8144
"Circus cyaneus",10.37076,43.8144
"Circus cyaneus",10.35161,43.8179
"Circus cyaneus",10.35161,43.8179
"Circus cyaneus",10.34032,43.8097
"Circus cyaneus",10.37076,43.8144
"Circus cyaneus",10.34067,43.8149
"Circus cyaneus",10.35161,43.8179
"Circus cyaneus",10.37076,43.8144
"Circus cyaneus",10.37076,43.8144
"Circus cyaneus",10.35161,43.8179
"Circus cyaneus",10.34102,43.81514
