"specie","longitude","latitude"
"Cisticola juncidis",10.30761,43.862
"Cisticola juncidis",10.2491,43.84429
"Cisticola juncidis",10.2473,43.84561
"Cisticola juncidis",10.33365,43.8144
"Cisticola juncidis",10.33106,43.81993
"Cisticola juncidis",10.3193,43.82231
"Cisticola juncidis",10.33106,43.81993
"Cisticola juncidis",10.33365,43.8144
"Cisticola juncidis",10.31509,43.81927
"Cisticola juncidis",10.34765,43.82463
"Cisticola juncidis",10.3468,43.84466
"Cisticola juncidis",10.33132,43.76701
"Cisticola juncidis",10.35719,43.83729
"Cisticola juncidis",10.27463,43.77864
"Cisticola juncidis",10.3744,43.81457
"Cisticola juncidis",10.35632,43.83691
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.27658,43.77766
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.30942,43.76323
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.28061,43.77717
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.32028,43.80435
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.31877,43.75278
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.3565,43.8364
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34515,43.81802
"Cisticola juncidis",10.34515,43.81802
"Cisticola juncidis",10.35161,43.8179
"Cisticola juncidis",10.37076,43.8144
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.35858,43.81519
"Cisticola juncidis",10.35213,43.84806
"Cisticola juncidis",10.34515,43.81802
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.34767,43.81647
"Cisticola juncidis",10.36196,43.82238
"Cisticola juncidis",10.37076,43.8144
"Cisticola juncidis",10.33984,43.80384
"Cisticola juncidis",10.34515,43.81802
"Cisticola juncidis",10.37076,43.8144
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.33464,43.81034
"Cisticola juncidis",10.34515,43.81802
"Cisticola juncidis",10.34032,43.8097
"Cisticola juncidis",10.35119,43.8418
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.28023,43.77719
"Cisticola juncidis",10.35655,43.83635
"Cisticola juncidis",10.28023,43.77719
"Cisticola juncidis",10.36895,43.83579
"Cisticola juncidis",10.35655,43.83635
