"specie","longitude","latitude"
"Columba livia",10.24099,43.87125
"Columba livia",10.24099,43.87125
"Columba livia",10.3193,43.82231
"Columba livia",10.24418,43.86471
"Columba livia",10.24418,43.86471
"Columba livia",10.33365,43.8144
"Columba livia",10.23728,43.88174
"Columba livia",10.24462,43.86698
"Columba livia",10.34032,43.8097
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.35655,43.83635
"Columba livia",10.35655,43.83635
"Columba livia",10.35655,43.83635
"Columba livia",10.34515,43.81802
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.34032,43.8097
"Columba livia",10.34032,43.8097
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.34032,43.8097
"Columba livia",10.34032,43.8097
"Columba livia",10.32712,43.76729
"Columba livia",10.32662,43.7675
"Columba livia",10.35362,43.83775
"Columba livia",10.39969,43.79841
"Columba livia",10.35655,43.83635
"Columba livia",10.34032,43.8097
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.31877,43.75278
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.33766,43.76657
"Columba livia",10.34032,43.8097
"Columba livia",10.35655,43.83635
"Columba livia",10.32466,43.80471
"Columba livia",10.34067,43.8149
"Columba livia",10.34032,43.8097
"Columba livia",10.33464,43.81034
"Columba livia",10.32466,43.80471
"Columba livia",10.35161,43.8179
"Columba livia",10.32466,43.80471
"Columba livia",10.34032,43.8097
"Columba livia",10.34067,43.8149
"Columba livia",10.32466,43.80471
"Columba livia",10.34067,43.8149
"Columba livia",10.34067,43.8149
"Columba livia",10.31761,43.80305
"Columba livia",10.34515,43.81802
"Columba livia",10.34032,43.8097
"Columba livia",10.32466,43.80471
"Columba livia",10.31761,43.80305
"Columba livia",10.34515,43.81802
"Columba livia",10.32466,43.80471
"Columba livia",10.32466,43.80471
"Columba livia",10.34767,43.81647
"Columba livia",10.34515,43.81802
"Columba livia",10.32466,43.80471
"Columba livia",10.32466,43.80471
"Columba livia",10.32466,43.80471
"Columba livia",10.35655,43.83635
"Columba livia",10.28023,43.77719
"Columba livia",10.35655,43.83635
"Columba livia",10.28023,43.77719
"Columba livia",10.36895,43.83579
"Columba livia",10.35655,43.83635
