"specie","longitude","latitude"
"Columba palumbus",10.25076,43.84848
"Columba palumbus",10.25453,43.83933
"Columba palumbus",10.30761,43.862
"Columba palumbus",10.30466,43.83258
"Columba palumbus",10.32215,43.8184
"Columba palumbus",10.31509,43.81927
"Columba palumbus",10.23728,43.88174
"Columba palumbus",10.23934,43.8824
"Columba palumbus",10.24462,43.86698
"Columba palumbus",10.31514,43.76436
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.31593,43.76452
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.30693,43.76441
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.27658,43.77766
"Columba palumbus",10.27658,43.77766
"Columba palumbus",10.30942,43.76323
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.28061,43.77717
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.29705,43.77406
"Columba palumbus",10.33766,43.76657
"Columba palumbus",10.33766,43.76657
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.31877,43.75278
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.30774,43.76577
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.35696,43.8249
"Columba palumbus",10.27253,43.77972
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.27253,43.77972
"Columba palumbus",10.34767,43.81647
"Columba palumbus",10.33464,43.81034
"Columba palumbus",10.34515,43.81802
"Columba palumbus",10.34515,43.81802
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.33464,43.81034
"Columba palumbus",10.37076,43.8144
"Columba palumbus",10.27253,43.77972
"Columba palumbus",10.27253,43.77972
"Columba palumbus",10.32466,43.80471
"Columba palumbus",10.34515,43.81802
"Columba palumbus",10.34515,43.81802
"Columba palumbus",10.32466,43.80471
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.35161,43.8179
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.35858,43.81519
"Columba palumbus",10.28016,43.77729
"Columba palumbus",10.31761,43.80305
"Columba palumbus",10.31761,43.80305
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.32466,43.80471
"Columba palumbus",10.32466,43.80471
"Columba palumbus",10.2725,43.77998
"Columba palumbus",10.28016,43.77729
"Columba palumbus",10.32466,43.80471
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.37076,43.8144
"Columba palumbus",10.34515,43.81802
"Columba palumbus",10.34032,43.8097
"Columba palumbus",10.27253,43.77972
"Columba palumbus",10.28016,43.77729
"Columba palumbus",10.33002,43.80685
"Columba palumbus",10.35618,43.83624
"Columba palumbus",10.28023,43.77719
"Columba palumbus",10.34843,43.83403
"Columba palumbus",10.35655,43.83635
"Columba palumbus",10.28023,43.77719
"Columba palumbus",10.26726,43.79415
