"specie","longitude","latitude"
"Coracias garrulus",10.31314,43.76133
"Coracias garrulus",10.31259,43.76152
"Coracias garrulus",10.30713,43.76452
"Coracias garrulus",10.30687,43.76438
"Coracias garrulus",10.32818,43.75152
"Coracias garrulus",10.35655,43.83635
"Coracias garrulus",10.34032,43.8097
"Coracias garrulus",10.2938,43.79545
"Coracias garrulus",10.28783,43.77369
"Coracias garrulus",10.28783,43.77369
"Coracias garrulus",10.33464,43.81034
"Coracias garrulus",10.32466,43.80471
"Coracias garrulus",10.34067,43.8149
"Coracias garrulus",10.34067,43.8149
"Coracias garrulus",10.2725,43.77998
