"specie","longitude","latitude"
"Corvus cornix",10.25293,43.87358
"Corvus cornix",10.31788,43.84879
"Corvus cornix",10.25076,43.84848
"Corvus cornix",10.25453,43.83933
"Corvus cornix",10.24099,43.87125
"Corvus cornix",10.2446,43.86813
"Corvus cornix",10.30813,43.83489
"Corvus cornix",10.30761,43.862
"Corvus cornix",10.32939,43.85363
"Corvus cornix",10.25742,43.81887
"Corvus cornix",10.2422,43.8766
"Corvus cornix",10.30813,43.83489
"Corvus cornix",10.26079,43.81903
"Corvus cornix",10.2413,43.8782
"Corvus cornix",10.32114,43.81122
"Corvus cornix",10.32215,43.8184
"Corvus cornix",10.33704,43.81975
"Corvus cornix",10.24418,43.86471
"Corvus cornix",10.24418,43.86471
"Corvus cornix",10.33106,43.81993
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33106,43.81993
"Corvus cornix",10.31509,43.81927
"Corvus cornix",10.33106,43.81993
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33531,43.81798
"Corvus cornix",10.31509,43.81927
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.32939,43.85363
"Corvus cornix",10.32648,43.81959
"Corvus cornix",10.3193,43.82231
"Corvus cornix",10.32215,43.8184
"Corvus cornix",10.32648,43.81959
"Corvus cornix",10.23934,43.8824
"Corvus cornix",10.32648,43.81959
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.23728,43.88174
"Corvus cornix",10.32648,43.81959
"Corvus cornix",10.33365,43.8144
"Corvus cornix",10.3193,43.82231
"Corvus cornix",10.23891,43.85569
"Corvus cornix",10.30507,43.83247
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34858,43.84646
"Corvus cornix",10.35263,43.84041
"Corvus cornix",10.35251,43.83894
"Corvus cornix",10.34535,43.84492
"Corvus cornix",10.35595,43.83624
"Corvus cornix",10.35248,43.79639
"Corvus cornix",10.34206,43.77652
"Corvus cornix",10.35436,43.83686
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.31593,43.76452
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35261,43.84408
"Corvus cornix",10.35393,43.83826
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.30693,43.76441
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.33464,43.81034
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34045,43.86118
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.30942,43.76323
"Corvus cornix",10.32646,43.75575
"Corvus cornix",10.28061,43.77717
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.32592,43.80491
"Corvus cornix",10.27658,43.77766
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.26942,43.78165
"Corvus cornix",10.28006,43.77681
"Corvus cornix",10.35346,43.83726
"Corvus cornix",10.3624,43.81471
"Corvus cornix",10.27752,43.77931
"Corvus cornix",10.26929,43.78172
"Corvus cornix",10.26929,43.78167
"Corvus cornix",10.26496,43.79477
"Corvus cornix",10.27621,43.77889
"Corvus cornix",10.26933,43.78169
"Corvus cornix",10.35534,43.79378
"Corvus cornix",10.35592,43.83817
"Corvus cornix",10.35561,43.83616
"Corvus cornix",10.31536,43.76435
"Corvus cornix",10.2661,43.7925
"Corvus cornix",10.30014,43.76852
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.33766,43.76657
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.30774,43.76577
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.33766,43.76657
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.36196,43.82238
"Corvus cornix",10.33464,43.81034
"Corvus cornix",10.32466,43.80471
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.34767,43.81647
"Corvus cornix",10.35696,43.8249
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35858,43.81519
"Corvus cornix",10.34067,43.8149
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.35858,43.81519
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.27253,43.77972
"Corvus cornix",10.32466,43.80471
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.35655,43.83635
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35858,43.81519
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.32466,43.80471
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.35858,43.81519
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.33984,43.80384
"Corvus cornix",10.34067,43.8149
"Corvus cornix",10.34067,43.8149
"Corvus cornix",10.34629,43.85928
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.28016,43.77729
"Corvus cornix",10.35589,43.83622
"Corvus cornix",10.33464,43.81034
"Corvus cornix",10.35161,43.8179
"Corvus cornix",10.34067,43.8149
"Corvus cornix",10.34067,43.8149
"Corvus cornix",10.35589,43.83622
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.34767,43.81647
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.34515,43.81802
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.39782,43.79909
"Corvus cornix",10.34032,43.8097
"Corvus cornix",10.35858,43.81519
"Corvus cornix",10.37076,43.8144
"Corvus cornix",10.35161,43.8179
"Corvus cornix",10.31761,43.80305
"Corvus cornix",10.35161,43.8179
