"specie","longitude","latitude"
"Corvus monedula",10.24099,43.87125
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.35655,43.83635
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.35655,43.83635
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.34767,43.81647
"Corvus monedula",10.35858,43.81519
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.35858,43.81519
"Corvus monedula",10.35696,43.8249
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.35161,43.8179
"Corvus monedula",10.34767,43.81647
"Corvus monedula",10.35161,43.8179
"Corvus monedula",10.34515,43.81802
"Corvus monedula",10.32466,43.80471
"Corvus monedula",10.35161,43.8179
"Corvus monedula",10.35655,43.83635
"Corvus monedula",10.34032,43.8097
"Corvus monedula",10.37076,43.8144
"Corvus monedula",10.37076,43.8144
"Corvus monedula",10.35655,43.83635
