"specie","longitude","latitude"
"Cuculus canorus",10.33106,43.81993
"Cuculus canorus",10.33106,43.81993
"Cuculus canorus",10.33106,43.81993
"Cuculus canorus",10.33531,43.81798
"Cuculus canorus",10.31509,43.81927
"Cuculus canorus",10.33365,43.8144
"Cuculus canorus",10.33365,43.8144
"Cuculus canorus",10.31509,43.81927
"Cuculus canorus",10.33365,43.8144
"Cuculus canorus",10.33365,43.8144
"Cuculus canorus",10.32648,43.81959
"Cuculus canorus",10.33106,43.81993
"Cuculus canorus",10.32648,43.81959
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.33766,43.76657
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.3519,43.8381
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.34515,43.81802
"Cuculus canorus",10.35589,43.83622
"Cuculus canorus",10.34515,43.81802
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.33984,43.80384
"Cuculus canorus",10.35213,43.84806
"Cuculus canorus",10.34629,43.85928
"Cuculus canorus",10.34515,43.81802
"Cuculus canorus",10.34032,43.8097
"Cuculus canorus",10.33464,43.81034
"Cuculus canorus",10.35589,43.83622
"Cuculus canorus",10.33464,43.81034
"Cuculus canorus",10.28016,43.77729
"Cuculus canorus",10.34067,43.8149
"Cuculus canorus",10.34067,43.8149
"Cuculus canorus",10.34067,43.8149
"Cuculus canorus",10.35655,43.83635
"Cuculus canorus",10.28023,43.77719
