"specie","longitude","latitude"
"Cyanistes caeruleus",10.25453,43.83933
"Cyanistes caeruleus",10.30761,43.862
"Cyanistes caeruleus",10.30466,43.83258
"Cyanistes caeruleus",10.30813,43.83489
"Cyanistes caeruleus",10.31509,43.81927
"Cyanistes caeruleus",10.33531,43.81798
"Cyanistes caeruleus",10.3193,43.82231
"Cyanistes caeruleus",10.33219,43.81898
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.28061,43.77717
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.3533,43.83941
"Cyanistes caeruleus",10.35188,43.83815
"Cyanistes caeruleus",10.27916,43.77718
"Cyanistes caeruleus",10.33766,43.76657
"Cyanistes caeruleus",10.30774,43.76577
"Cyanistes caeruleus",10.30942,43.76323
"Cyanistes caeruleus",10.34032,43.8097
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35696,43.8249
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.27253,43.77972
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.31761,43.80305
"Cyanistes caeruleus",10.34576,43.84537
"Cyanistes caeruleus",10.36157,43.83153
"Cyanistes caeruleus",10.33464,43.81034
"Cyanistes caeruleus",10.37076,43.8144
"Cyanistes caeruleus",10.34032,43.8097
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.35655,43.83635
"Cyanistes caeruleus",10.28023,43.77719
"Cyanistes caeruleus",10.28023,43.77719
"Cyanistes caeruleus",10.36895,43.83579
"Cyanistes caeruleus",10.35655,43.83635
