"specie","longitude","latitude"
"Delichon urbicum",10.30813,43.83489
"Delichon urbicum",10.30813,43.83489
"Delichon urbicum",10.32939,43.85363
"Delichon urbicum",10.30466,43.83258
"Delichon urbicum",10.32939,43.85363
"Delichon urbicum",10.32939,43.85363
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.35261,43.84408
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.30942,43.76323
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.37983,43.78387
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.32063,43.76533
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.32063,43.76533
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.30774,43.76577
"Delichon urbicum",10.3565,43.8364
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34515,43.81802
"Delichon urbicum",10.34515,43.81802
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.34032,43.8097
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35589,43.83622
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.2725,43.77998
"Delichon urbicum",10.34515,43.81802
"Delichon urbicum",10.34067,43.8149
"Delichon urbicum",10.37076,43.8144
"Delichon urbicum",10.34067,43.8149
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.35119,43.8418
"Delichon urbicum",10.35618,43.83624
"Delichon urbicum",10.34843,43.83403
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.28023,43.77719
"Delichon urbicum",10.35655,43.83635
"Delichon urbicum",10.26726,43.79415
"Delichon urbicum",10.28023,43.77719
"Delichon urbicum",10.35655,43.83635
