"specie","longitude","latitude"
"Dendrocopos major",10.25453,43.83933
"Dendrocopos major",10.25076,43.84848
"Dendrocopos major",10.35655,43.83635
"Dendrocopos major",10.34032,43.8097
"Dendrocopos major",10.28061,43.77717
"Dendrocopos major",10.35655,43.83635
"Dendrocopos major",10.35655,43.83635
"Dendrocopos major",10.29705,43.77406
"Dendrocopos major",10.30774,43.76577
"Dendrocopos major",10.34032,43.8097
"Dendrocopos major",10.33766,43.76657
"Dendrocopos major",10.28023,43.77719
"Dendrocopos major",10.28023,43.77719
