"specie","longitude","latitude"
"Egretta garzetta",10.33441,43.81774
"Egretta garzetta",10.2525,43.8394
"Egretta garzetta",10.30761,43.862
"Egretta garzetta",10.33539,43.83156
"Egretta garzetta",10.30697,43.83116
"Egretta garzetta",10.32939,43.85363
"Egretta garzetta",10.32215,43.8184
"Egretta garzetta",10.32114,43.81122
"Egretta garzetta",10.33106,43.81993
"Egretta garzetta",10.31509,43.81927
"Egretta garzetta",10.33531,43.81798
"Egretta garzetta",10.31509,43.81927
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.32939,43.85363
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.3193,43.82231
"Egretta garzetta",10.33531,43.81798
"Egretta garzetta",10.33106,43.81993
"Egretta garzetta",10.33365,43.8144
"Egretta garzetta",10.33166,43.81588
"Egretta garzetta",10.33106,43.81993
"Egretta garzetta",10.35143,43.83824
"Egretta garzetta",10.35143,43.83824
"Egretta garzetta",10.35143,43.83824
"Egretta garzetta",10.35143,43.83824
"Egretta garzetta",10.3515,43.83659
"Egretta garzetta",10.34885,43.83388
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.34702,43.8424
"Egretta garzetta",10.36687,43.82477
"Egretta garzetta",10.36,43.81
"Egretta garzetta",10.36,43.82
"Egretta garzetta",10.35135,43.83834
"Egretta garzetta",10.3588,43.80499
"Egretta garzetta",10.35248,43.79638
"Egretta garzetta",10.35599,43.83627
"Egretta garzetta",10.3523,43.83747
"Egretta garzetta",10.35294,43.8368
"Egretta garzetta",10.35143,43.83825
"Egretta garzetta",10.33343,43.77756
"Egretta garzetta",10.35237,43.83761
"Egretta garzetta",10.35207,43.83858
"Egretta garzetta",10.35416,43.83699
"Egretta garzetta",10.35394,43.83708
"Egretta garzetta",10.32125,43.80439
"Egretta garzetta",10.36075,43.8328
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.34515,43.81802
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.35393,43.83826
"Egretta garzetta",10.35261,43.84408
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.33464,43.81034
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35279,43.83884
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.34045,43.86118
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.35655,43.83635
"Egretta garzetta",10.34032,43.8097
"Egretta garzetta",10.28061,43.77717
