"specie","longitude","latitude"
"Emberiza schoeniclus",10.30761,43.862
"Emberiza schoeniclus",10.30813,43.83489
"Emberiza schoeniclus",10.32939,43.85363
"Emberiza schoeniclus",10.32114,43.81122
"Emberiza schoeniclus",10.32939,43.85363
"Emberiza schoeniclus",10.32939,43.85363
"Emberiza schoeniclus",10.33531,43.81798
"Emberiza schoeniclus",10.3193,43.82231
"Emberiza schoeniclus",10.33365,43.8144
"Emberiza schoeniclus",10.33365,43.8144
"Emberiza schoeniclus",10.33597,43.8189
"Emberiza schoeniclus",10.33221,43.81896
"Emberiza schoeniclus",10.32903,43.81982
"Emberiza schoeniclus",10.35393,43.83826
"Emberiza schoeniclus",10.35655,43.83635
"Emberiza schoeniclus",10.28061,43.77717
"Emberiza schoeniclus",10.35655,43.83635
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.35655,43.83635
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.30942,43.76323
"Emberiza schoeniclus",10.353,43.8341
"Emberiza schoeniclus",10.34767,43.81647
"Emberiza schoeniclus",10.35696,43.8249
"Emberiza schoeniclus",10.35655,43.83635
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.34032,43.8097
"Emberiza schoeniclus",10.37076,43.8144
"Emberiza schoeniclus",10.35655,43.83635
