"specie","longitude","latitude"
"Erithacus rubecula",10.23775,43.8891
"Erithacus rubecula",10.32939,43.85363
"Erithacus rubecula",10.2446,43.86813
"Erithacus rubecula",10.32939,43.85363
"Erithacus rubecula",10.25076,43.84848
"Erithacus rubecula",10.30813,43.83489
"Erithacus rubecula",10.30761,43.862
"Erithacus rubecula",10.25742,43.81887
"Erithacus rubecula",10.30813,43.83489
"Erithacus rubecula",10.26079,43.81903
"Erithacus rubecula",10.33365,43.8144
"Erithacus rubecula",10.33704,43.81975
"Erithacus rubecula",10.3193,43.82231
"Erithacus rubecula",10.33106,43.81993
"Erithacus rubecula",10.32907,43.81975
"Erithacus rubecula",10.35474,43.83819
"Erithacus rubecula",10.35337,43.83919
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.31593,43.76452
"Erithacus rubecula",10.35393,43.83826
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.39782,43.79909
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.28061,43.77717
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.31761,43.80305
"Erithacus rubecula",10.32646,43.75575
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.39782,43.79909
"Erithacus rubecula",10.28017,43.77712
"Erithacus rubecula",10.35295,43.84015
"Erithacus rubecula",10.27942,43.77716
"Erithacus rubecula",10.26541,43.7949
"Erithacus rubecula",10.28039,43.77722
"Erithacus rubecula",10.27243,43.77975
"Erithacus rubecula",10.28024,43.77714
"Erithacus rubecula",10.26958,43.7816
"Erithacus rubecula",10.27332,43.7794
"Erithacus rubecula",10.27974,43.77707
"Erithacus rubecula",10.26507,43.80154
"Erithacus rubecula",10.28038,43.77715
"Erithacus rubecula",10.28089,43.77732
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.35565,43.83615
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.33766,43.76657
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.30774,43.76577
"Erithacus rubecula",10.30942,43.76323
"Erithacus rubecula",10.33525,43.81064
"Erithacus rubecula",10.31989,43.80394
"Erithacus rubecula",10.32466,43.80471
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.27253,43.77972
"Erithacus rubecula",10.33464,43.81034
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.27253,43.77972
"Erithacus rubecula",10.36196,43.82238
"Erithacus rubecula",10.28016,43.77729
"Erithacus rubecula",10.27253,43.77972
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.35858,43.81519
"Erithacus rubecula",10.36157,43.83153
"Erithacus rubecula",10.34576,43.84537
"Erithacus rubecula",10.31761,43.80305
"Erithacus rubecula",10.34515,43.81802
"Erithacus rubecula",10.34515,43.81802
"Erithacus rubecula",10.33464,43.81034
"Erithacus rubecula",10.37076,43.8144
"Erithacus rubecula",10.35655,43.83635
"Erithacus rubecula",10.3437,43.81722
"Erithacus rubecula",10.34032,43.8097
"Erithacus rubecula",10.35161,43.8179
"Erithacus rubecula",10.34515,43.81802
"Erithacus rubecula",10.35161,43.8179
"Erithacus rubecula",10.35858,43.81519
"Erithacus rubecula",10.37076,43.8144
"Erithacus rubecula",10.39382,43.79921
"Erithacus rubecula",10.28016,43.77729
"Erithacus rubecula",10.365,43.8351
"Erithacus rubecula",10.33347,43.80945
"Erithacus rubecula",10.26924,43.78524
"Erithacus rubecula",10.36895,43.83579
"Erithacus rubecula",10.35655,43.83635
