"specie","longitude","latitude"
"Falco tinnunculus",10.33299,43.81418
"Falco tinnunculus",10.25453,43.83933
"Falco tinnunculus",10.33106,43.81993
"Falco tinnunculus",10.30813,43.83489
"Falco tinnunculus",10.30761,43.862
"Falco tinnunculus",10.30813,43.83489
"Falco tinnunculus",10.24787,43.84449
"Falco tinnunculus",10.32215,43.8184
"Falco tinnunculus",10.33106,43.81993
"Falco tinnunculus",10.31509,43.81927
"Falco tinnunculus",10.33106,43.81993
"Falco tinnunculus",10.33365,43.8144
"Falco tinnunculus",10.33365,43.8144
"Falco tinnunculus",10.3193,43.82231
"Falco tinnunculus",10.33531,43.81798
"Falco tinnunculus",10.33704,43.81975
"Falco tinnunculus",10.32215,43.8184
"Falco tinnunculus",10.33365,43.8144
"Falco tinnunculus",10.33365,43.8144
"Falco tinnunculus",10.24829,43.84345
"Falco tinnunculus",10.33644,43.81253
"Falco tinnunculus",10.26848,43.78699
"Falco tinnunculus",10.36,43.81
"Falco tinnunculus",10.31259,43.76152
"Falco tinnunculus",10.34385,43.81724
"Falco tinnunculus",10.35704,43.83736
"Falco tinnunculus",10.34201,43.81868
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35261,43.84408
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.33464,43.81034
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.32466,43.80471
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.31761,43.80305
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.33397,43.80983
"Falco tinnunculus",10.27347,43.77934
"Falco tinnunculus",10.26525,43.79435
"Falco tinnunculus",10.35213,43.82659
"Falco tinnunculus",10.27312,43.77954
"Falco tinnunculus",10.33593,43.76823
"Falco tinnunculus",10.32381,43.76031
"Falco tinnunculus",10.36155,43.80685
"Falco tinnunculus",10.29705,43.77406
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.31877,43.75278
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.30774,43.76577
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.35655,43.83635
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.32113,43.80441
"Falco tinnunculus",10.3242,43.76483
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.27253,43.77972
"Falco tinnunculus",10.34515,43.81802
"Falco tinnunculus",10.36196,43.82238
"Falco tinnunculus",10.35858,43.81519
"Falco tinnunculus",10.27253,43.77972
"Falco tinnunculus",10.34032,43.8097
"Falco tinnunculus",10.32466,43.80471
