"specie","longitude","latitude"
"Fringilla coelebs",10.23703,43.88867
"Fringilla coelebs",10.33521,43.81797
"Fringilla coelebs",10.25076,43.84848
"Fringilla coelebs",10.30761,43.862
"Fringilla coelebs",10.25742,43.81887
"Fringilla coelebs",10.30813,43.83489
"Fringilla coelebs",10.32939,43.85363
"Fringilla coelebs",10.33704,43.81975
"Fringilla coelebs",10.33704,43.81975
"Fringilla coelebs",10.31509,43.81927
"Fringilla coelebs",10.33365,43.8144
"Fringilla coelebs",10.33365,43.8144
"Fringilla coelebs",10.33531,43.81798
"Fringilla coelebs",10.33365,43.8144
"Fringilla coelebs",10.33522,43.81804
"Fringilla coelebs",10.35436,43.83881
"Fringilla coelebs",10.26793,43.79335
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35393,43.83826
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.31593,43.76452
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.30693,43.76441
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.32646,43.75575
"Fringilla coelebs",10.32466,43.80471
"Fringilla coelebs",10.28061,43.77717
"Fringilla coelebs",10.31761,43.80305
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.27762,43.77745
"Fringilla coelebs",10.33766,43.76657
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.30942,43.76323
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.34071,43.8188
"Fringilla coelebs",10.37076,43.8144
"Fringilla coelebs",10.28016,43.77729
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.27253,43.77972
"Fringilla coelebs",10.34767,43.81647
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.35696,43.8249
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.34067,43.8149
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.34515,43.81802
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.36196,43.82238
"Fringilla coelebs",10.27253,43.77972
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.37076,43.8144
"Fringilla coelebs",10.31761,43.80305
"Fringilla coelebs",10.34515,43.81802
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.31761,43.80305
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.37076,43.8144
"Fringilla coelebs",10.34767,43.81647
"Fringilla coelebs",10.34767,43.81647
"Fringilla coelebs",10.34067,43.8149
"Fringilla coelebs",10.34576,43.84537
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.34515,43.81802
"Fringilla coelebs",10.32466,43.80471
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.34067,43.8149
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.31761,43.80305
"Fringilla coelebs",10.32466,43.80471
"Fringilla coelebs",10.36196,43.82238
"Fringilla coelebs",10.36157,43.83153
"Fringilla coelebs",10.32466,43.80471
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.37076,43.8144
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.32634,43.80498
"Fringilla coelebs",10.32632,43.80496
"Fringilla coelebs",10.34032,43.8097
"Fringilla coelebs",10.33464,43.81034
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.37076,43.8144
"Fringilla coelebs",10.35161,43.8179
"Fringilla coelebs",10.26944,43.78375
"Fringilla coelebs",10.35119,43.8418
"Fringilla coelebs",10.28023,43.77719
"Fringilla coelebs",10.35655,43.83635
"Fringilla coelebs",10.36895,43.83579
"Fringilla coelebs",10.35655,43.83635
