"specie","longitude","latitude"
"Fulica atra",10.24951,43.84206
"Fulica atra",10.32939,43.85363
"Fulica atra",10.32939,43.85363
"Fulica atra",10.30761,43.862
"Fulica atra",10.32939,43.85363
"Fulica atra",10.32114,43.81122
"Fulica atra",10.31509,43.81927
"Fulica atra",10.32939,43.85363
"Fulica atra",10.3193,43.82231
"Fulica atra",10.35151,43.83941
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34987,43.83939
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34032,43.8097
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34032,43.8097
"Fulica atra",10.35565,43.83615
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34032,43.8097
"Fulica atra",10.34515,43.81802
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.35236,43.83761
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.34629,43.85928
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35589,43.83622
"Fulica atra",10.35589,43.83622
"Fulica atra",10.34032,43.8097
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.35655,43.83635
"Fulica atra",10.36157,43.83153
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.34515,43.81802
"Fulica atra",10.27253,43.77972
"Fulica atra",10.34576,43.84537
"Fulica atra",10.34515,43.81802
"Fulica atra",10.2725,43.77998
"Fulica atra",10.26798,43.78822
"Fulica atra",10.26833,43.78704
"Fulica atra",10.35161,43.8179
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.35655,43.83635
"Fulica atra",10.26839,43.78724
"Fulica atra",10.26824,43.78789
"Fulica atra",10.26794,43.78834
"Fulica atra",10.26809,43.78828
"Fulica atra",10.35655,43.83635
"Fulica atra",10.26726,43.79415
"Fulica atra",10.35655,43.83635
