"specie","longitude","latitude"
"Galerida cristata",10.3238,43.8181
"Galerida cristata",10.33365,43.8144
"Galerida cristata",10.33365,43.8144
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.35655,43.83635
"Galerida cristata",10.35655,43.83635
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34032,43.8097
"Galerida cristata",10.34767,43.81647
"Galerida cristata",10.33464,43.81034
"Galerida cristata",10.28023,43.77719
