"specie","longitude","latitude"
"Gallinago gallinago",10.31509,43.81927
"Gallinago gallinago",10.32215,43.8184
"Gallinago gallinago",10.35655,43.83635
"Gallinago gallinago",10.35655,43.83635
"Gallinago gallinago",10.35655,43.83635
"Gallinago gallinago",10.34032,43.8097
"Gallinago gallinago",10.35655,43.83635
"Gallinago gallinago",10.35655,43.83635
"Gallinago gallinago",10.34032,43.8097
"Gallinago gallinago",10.34032,43.8097
"Gallinago gallinago",10.34032,43.8097
"Gallinago gallinago",10.35655,43.83635
