"specie","longitude","latitude"
"Gallinula chloropus",10.25216,43.83723
"Gallinula chloropus",10.30761,43.862
"Gallinula chloropus",10.33539,43.83156
"Gallinula chloropus",10.31509,43.81927
"Gallinula chloropus",10.32114,43.81122
"Gallinula chloropus",10.31509,43.81927
"Gallinula chloropus",10.32939,43.85363
"Gallinula chloropus",10.3193,43.82231
"Gallinula chloropus",10.30507,43.83247
"Gallinula chloropus",10.35,43.83
"Gallinula chloropus",10.35239,43.83758
"Gallinula chloropus",10.35137,43.83834
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35393,43.83826
"Gallinula chloropus",10.35261,43.84408
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35633,43.83611
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35633,43.83617
"Gallinula chloropus",10.35615,43.83603
"Gallinula chloropus",10.28661,43.7744
"Gallinula chloropus",10.34207,43.86171
"Gallinula chloropus",10.27201,43.78019
"Gallinula chloropus",10.35595,43.83624
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.30942,43.76323
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35696,43.8249
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34629,43.85928
"Gallinula chloropus",10.35589,43.83622
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.36157,43.83153
"Gallinula chloropus",10.34576,43.84537
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.33464,43.81034
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34767,43.81647
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35161,43.8179
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34032,43.8097
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35161,43.8179
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35161,43.8179
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.34515,43.81802
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35119,43.8418
"Gallinula chloropus",10.34843,43.83403
"Gallinula chloropus",10.28023,43.77719
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
"Gallinula chloropus",10.35655,43.83635
