"specie","longitude","latitude"
"Garrulus glandarius",10.25484,43.84344
"Garrulus glandarius",10.25076,43.84848
"Garrulus glandarius",10.25453,43.83933
"Garrulus glandarius",10.30813,43.83489
"Garrulus glandarius",10.31509,43.81927
"Garrulus glandarius",10.23934,43.8824
"Garrulus glandarius",10.23728,43.88174
"Garrulus glandarius",10.26811,43.78886
"Garrulus glandarius",10.35655,43.83635
"Garrulus glandarius",10.35655,43.83635
"Garrulus glandarius",10.27154,43.7803
"Garrulus glandarius",10.35655,43.83635
"Garrulus glandarius",10.29705,43.77406
"Garrulus glandarius",10.33766,43.76657
"Garrulus glandarius",10.35655,43.83635
"Garrulus glandarius",10.28016,43.77729
"Garrulus glandarius",10.28023,43.77719
