"specie","longitude","latitude"
"Grus grus",10.33032,43.80714
"Grus grus",10.31593,43.76452
"Grus grus",10.30693,43.76441
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.39149,43.77993
"Grus grus",10.34032,43.8097
"Grus grus",10.2818,43.7768
"Grus grus",10.34032,43.8097
"Grus grus",10.31761,43.80305
"Grus grus",10.31761,43.80305
"Grus grus",10.34067,43.8149
"Grus grus",10.34032,43.8097
