"specie","longitude","latitude"
"Hieraaetus pennatus",10.32939,43.85363
"Hieraaetus pennatus",10.33704,43.81975
"Hieraaetus pennatus",10.33704,43.81975
"Hieraaetus pennatus",10.33248,43.81871
"Hieraaetus pennatus",10.35655,43.83635
"Hieraaetus pennatus",10.34032,43.8097
"Hieraaetus pennatus",10.35161,43.8179
"Hieraaetus pennatus",10.34515,43.81802
"Hieraaetus pennatus",10.35696,43.8249
"Hieraaetus pennatus",10.34032,43.8097
"Hieraaetus pennatus",10.34032,43.8097
"Hieraaetus pennatus",10.35161,43.8179
"Hieraaetus pennatus",10.32466,43.80471
"Hieraaetus pennatus",10.34032,43.8097
"Hieraaetus pennatus",10.32466,43.80471
"Hieraaetus pennatus",10.32153,43.8044
