"specie","longitude","latitude"
"Himantopus himantopus",10.33285,43.81415
"Himantopus himantopus",10.33292,43.81339
"Himantopus himantopus",10.33291,43.81397
"Himantopus himantopus",10.31509,43.81927
"Himantopus himantopus",10.33365,43.8144
"Himantopus himantopus",10.31509,43.81927
"Himantopus himantopus",10.33365,43.8144
"Himantopus himantopus",10.2678,43.78867
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.34045,43.86118
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.35161,43.8179
"Himantopus himantopus",10.35161,43.8179
"Himantopus himantopus",10.34032,43.8097
"Himantopus himantopus",10.35655,43.83635
"Himantopus himantopus",10.26726,43.79415
