"specie","longitude","latitude"
"Hirundo rustica",10.24099,43.87125
"Hirundo rustica",10.30813,43.83489
"Hirundo rustica",10.30813,43.83489
"Hirundo rustica",10.32939,43.85363
"Hirundo rustica",10.30466,43.83258
"Hirundo rustica",10.32939,43.85363
"Hirundo rustica",10.32939,43.85363
"Hirundo rustica",10.26079,43.81903
"Hirundo rustica",10.31509,43.81927
"Hirundo rustica",10.33365,43.8144
"Hirundo rustica",10.33365,43.8144
"Hirundo rustica",10.33365,43.8144
"Hirundo rustica",10.32939,43.85363
"Hirundo rustica",10.33365,43.8144
"Hirundo rustica",10.32648,43.81959
"Hirundo rustica",10.33106,43.81993
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.26478,43.79397
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35261,43.84408
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.30942,43.76323
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.27658,43.77766
"Hirundo rustica",10.35633,43.83611
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.32028,43.80435
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.33822,43.76849
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.30774,43.76577
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.33464,43.81034
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.32466,43.80471
"Hirundo rustica",10.37076,43.8144
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.28016,43.77729
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.33464,43.81034
"Hirundo rustica",10.28016,43.77729
"Hirundo rustica",10.35589,43.83622
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.33984,43.80384
"Hirundo rustica",10.31761,43.80305
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.35858,43.81519
"Hirundo rustica",10.34767,43.81647
"Hirundo rustica",10.28016,43.77729
"Hirundo rustica",10.33464,43.81034
"Hirundo rustica",10.34067,43.8149
"Hirundo rustica",10.35161,43.8179
"Hirundo rustica",10.32466,43.80471
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.34067,43.8149
"Hirundo rustica",10.34067,43.8149
"Hirundo rustica",10.35161,43.8179
"Hirundo rustica",10.34067,43.8149
"Hirundo rustica",10.34515,43.81802
"Hirundo rustica",10.34067,43.8149
"Hirundo rustica",10.34032,43.8097
"Hirundo rustica",10.27253,43.77972
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.35119,43.8418
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.28023,43.77719
"Hirundo rustica",10.35655,43.83635
"Hirundo rustica",10.26726,43.79415
"Hirundo rustica",10.28023,43.77719
"Hirundo rustica",10.35655,43.83635
