"specie","longitude","latitude"
"Larus michahellis",10.23825,43.87628
"Larus michahellis",10.23217,43.88966
"Larus michahellis",10.25076,43.84848
"Larus michahellis",10.24099,43.87125
"Larus michahellis",10.2446,43.86813
"Larus michahellis",10.30813,43.83489
"Larus michahellis",10.30813,43.83489
"Larus michahellis",10.24099,43.87125
"Larus michahellis",10.30761,43.862
"Larus michahellis",10.30719,43.83086
"Larus michahellis",10.30466,43.83258
"Larus michahellis",10.32939,43.85363
"Larus michahellis",10.25742,43.81887
"Larus michahellis",10.30813,43.83489
"Larus michahellis",10.32939,43.85363
"Larus michahellis",10.26079,43.81903
"Larus michahellis",10.24418,43.86471
"Larus michahellis",10.24418,43.86471
"Larus michahellis",10.32939,43.85363
"Larus michahellis",10.33365,43.8144
"Larus michahellis",10.33365,43.8144
"Larus michahellis",10.3193,43.82231
"Larus michahellis",10.33365,43.8144
"Larus michahellis",10.3193,43.82231
"Larus michahellis",10.33704,43.81975
"Larus michahellis",10.32648,43.81959
"Larus michahellis",10.23728,43.88174
"Larus michahellis",10.23934,43.8824
"Larus michahellis",10.32648,43.81959
"Larus michahellis",10.33106,43.81993
"Larus michahellis",10.24274,43.86464
"Larus michahellis",10.33106,43.81993
"Larus michahellis",10.24462,43.86698
"Larus michahellis",10.23888,43.85571
"Larus michahellis",10.23558,43.87932
"Larus michahellis",10.24989,43.86663
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35149,43.83836
"Larus michahellis",10.35238,43.83759
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.33464,43.81034
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.27658,43.77766
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35141,43.83832
"Larus michahellis",10.27021,43.78122
"Larus michahellis",10.26499,43.79475
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.33766,43.76657
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.33766,43.76657
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.33766,43.76657
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.26342,43.80286
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35161,43.8179
"Larus michahellis",10.35858,43.81519
"Larus michahellis",10.34767,43.81647
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.33464,43.81034
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35589,43.83622
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.33984,43.80384
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.35589,43.83622
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.39782,43.79909
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.36157,43.83153
"Larus michahellis",10.33464,43.81034
"Larus michahellis",10.32466,43.80471
"Larus michahellis",10.32466,43.80471
"Larus michahellis",10.34576,43.84537
"Larus michahellis",10.34767,43.81647
"Larus michahellis",10.34767,43.81647
"Larus michahellis",10.2725,43.77998
"Larus michahellis",10.34767,43.81647
"Larus michahellis",10.35858,43.81519
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.34767,43.81647
"Larus michahellis",10.32466,43.80471
"Larus michahellis",10.34032,43.8097
"Larus michahellis",10.34515,43.81802
"Larus michahellis",10.35161,43.8179
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.26846,43.78699
"Larus michahellis",10.26841,43.7872
"Larus michahellis",10.35119,43.8418
"Larus michahellis",10.35618,43.83624
"Larus michahellis",10.34843,43.83403
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.28023,43.77719
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.26726,43.79415
"Larus michahellis",10.28023,43.77719
"Larus michahellis",10.36895,43.83579
"Larus michahellis",10.35655,43.83635
"Larus michahellis",10.35655,43.83635
