"specie","longitude","latitude"
"Leiothrix lutea",10.30437,43.90453
"Leiothrix lutea",10.35431,43.83883
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.34045,43.86118
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35353,43.83899
"Leiothrix lutea",10.35289,43.83959
"Leiothrix lutea",10.37042,43.86034
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.35655,43.83635
"Leiothrix lutea",10.36895,43.83579
