"specie","longitude","latitude"
"Luscinia megarhynchos",10.32939,43.85363
"Luscinia megarhynchos",10.3193,43.82231
"Luscinia megarhynchos",10.31509,43.81927
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.31509,43.81927
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.32648,43.81959
"Luscinia megarhynchos",10.32648,43.81959
"Luscinia megarhynchos",10.33365,43.8144
"Luscinia megarhynchos",10.26802,43.78978
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.35655,43.83635
"Luscinia megarhynchos",10.35655,43.83635
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.35655,43.83635
"Luscinia megarhynchos",10.27658,43.77766
"Luscinia megarhynchos",10.32063,43.76533
"Luscinia megarhynchos",10.32028,43.80435
"Luscinia megarhynchos",10.27658,43.77766
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.33766,43.76657
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34629,43.85928
"Luscinia megarhynchos",10.34032,43.8097
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.31761,43.80305
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.28016,43.77729
"Luscinia megarhynchos",10.27253,43.77972
"Luscinia megarhynchos",10.34767,43.81647
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.34067,43.8149
"Luscinia megarhynchos",10.34515,43.81802
"Luscinia megarhynchos",10.28016,43.77729
"Luscinia megarhynchos",10.35655,43.83635
"Luscinia megarhynchos",10.28023,43.77719
"Luscinia megarhynchos",10.28023,43.77719
"Luscinia megarhynchos",10.35655,43.83635
