"specie","longitude","latitude"
"Merops apiaster",10.32547,43.88557
"Merops apiaster",10.32939,43.85363
"Merops apiaster",10.32939,43.85363
"Merops apiaster",10.32939,43.85363
"Merops apiaster",10.33531,43.81798
"Merops apiaster",10.33365,43.8144
"Merops apiaster",10.31509,43.81927
"Merops apiaster",10.33365,43.8144
"Merops apiaster",10.33365,43.8144
"Merops apiaster",10.31509,43.81927
"Merops apiaster",10.33106,43.81993
"Merops apiaster",10.32648,43.81959
"Merops apiaster",10.32648,43.81959
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34041,43.77797
"Merops apiaster",10.35613,43.83593
"Merops apiaster",10.32045,43.764
"Merops apiaster",10.35393,43.83703
"Merops apiaster",10.31259,43.76152
"Merops apiaster",10.30449,43.76514
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.35261,43.84408
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.33464,43.81034
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34045,43.86118
"Merops apiaster",10.30942,43.76323
"Merops apiaster",10.30646,43.76464
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.32063,43.76533
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.31024,43.804
"Merops apiaster",10.2664,43.7928
"Merops apiaster",10.39969,43.79841
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.37076,43.8144
"Merops apiaster",10.33464,43.81034
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.34515,43.81802
"Merops apiaster",10.34067,43.8149
"Merops apiaster",10.34515,43.81802
"Merops apiaster",10.28016,43.77729
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.33984,43.80384
"Merops apiaster",10.35858,43.81519
"Merops apiaster",10.33464,43.81034
"Merops apiaster",10.35213,43.84806
"Merops apiaster",10.34067,43.8149
"Merops apiaster",10.34032,43.8097
"Merops apiaster",10.34629,43.85928
"Merops apiaster",10.34767,43.81647
"Merops apiaster",10.33464,43.81034
"Merops apiaster",10.28016,43.77729
"Merops apiaster",10.2725,43.77998
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.34767,43.81647
"Merops apiaster",10.35858,43.81519
"Merops apiaster",10.34515,43.81802
"Merops apiaster",10.34767,43.81647
"Merops apiaster",10.34067,43.8149
"Merops apiaster",10.34515,43.81802
"Merops apiaster",10.27253,43.77972
"Merops apiaster",10.32645,43.80492
"Merops apiaster",10.35655,43.83635
"Merops apiaster",10.35655,43.83635
