"specie","longitude","latitude"
"Motacilla alba",10.30813,43.83489
"Motacilla alba",10.2444,43.86718
"Motacilla alba",10.30813,43.83489
"Motacilla alba",10.30761,43.862
"Motacilla alba",10.30661,43.83268
"Motacilla alba",10.25742,43.81887
"Motacilla alba",10.32939,43.85363
"Motacilla alba",10.30813,43.83489
"Motacilla alba",10.26079,43.81903
"Motacilla alba",10.24418,43.86471
"Motacilla alba",10.24418,43.86471
"Motacilla alba",10.31509,43.81927
"Motacilla alba",10.31509,43.81927
"Motacilla alba",10.32939,43.85363
"Motacilla alba",10.24153,43.89201
"Motacilla alba",10.2371,43.85892
"Motacilla alba",10.23842,43.85877
"Motacilla alba",10.35256,43.83896
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.35261,43.84408
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.28061,43.77717
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.27298,43.77959
"Motacilla alba",10.26941,43.78176
"Motacilla alba",10.26938,43.78175
"Motacilla alba",10.2752,43.77821
"Motacilla alba",10.35195,43.83853
"Motacilla alba",10.33766,43.76657
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.34032,43.8097
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.34032,43.8097
"Motacilla alba",10.34032,43.8097
"Motacilla alba",10.37076,43.8144
"Motacilla alba",10.36196,43.82238
"Motacilla alba",10.35696,43.8249
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.27253,43.77972
"Motacilla alba",10.34067,43.8149
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.27253,43.77972
"Motacilla alba",10.34032,43.8097
"Motacilla alba",10.28016,43.77729
"Motacilla alba",10.33984,43.80384
"Motacilla alba",10.37076,43.8144
"Motacilla alba",10.37076,43.8144
"Motacilla alba",10.34067,43.8149
"Motacilla alba",10.34067,43.8149
"Motacilla alba",10.36157,43.83153
"Motacilla alba",10.35161,43.8179
"Motacilla alba",10.37076,43.8144
"Motacilla alba",10.32466,43.80471
"Motacilla alba",10.34032,43.8097
"Motacilla alba",10.37076,43.8144
"Motacilla alba",10.35161,43.8179
"Motacilla alba",10.3247,43.80474
"Motacilla alba",10.35119,43.8418
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.35655,43.83635
"Motacilla alba",10.28023,43.77719
"Motacilla alba",10.35655,43.83635
