"specie","longitude","latitude"
"Motacilla cinerea",10.24347,43.8646
"Motacilla cinerea",10.23037,43.88887
"Motacilla cinerea",10.30813,43.83489
"Motacilla cinerea",10.30761,43.862
"Motacilla cinerea",10.31509,43.81927
"Motacilla cinerea",10.3361,43.81913
"Motacilla cinerea",10.24462,43.86698
"Motacilla cinerea",10.35655,43.83635
"Motacilla cinerea",10.35655,43.83635
"Motacilla cinerea",10.32466,43.80471
"Motacilla cinerea",10.28016,43.77729
"Motacilla cinerea",10.32466,43.80471
"Motacilla cinerea",10.34515,43.81802
"Motacilla cinerea",10.34515,43.81802
"Motacilla cinerea",10.33464,43.81034
"Motacilla cinerea",10.35655,43.83635
